index,2014.0,2015.0,2016.0,2017.0,2018.0
linreg,-0.01305760900325278,-0.01459004333241487,-0.04437633637362101,-0.005804665592124392,1.079779385690989
lasso,-0.011358611171744366,-0.020715135572392497,-0.027237388664528392,-0.0029278878832708763,1.064120084078636
ridge,-0.0131276927780329,-0.01469046915853975,-0.04340125678907398,-0.005635905611008061,1.0787978497452726
elasticnet,0.0,0.0,0.0,0.0,0.9946704045663204
knn,,,,,
svr,,,,,
treereg,0.000162522401828597,0.00010606900586630408,0.00010887182595553698,0.00041248589016174085,0.9992100508761879
randforest,0.012190340234679804,0.008707005417761456,0.0069289724445976576,0.013548077036116244,0.9586256048668449
bagging,,,,,
adaboost,0.009210542344903778,0.0,0.012486089695389,0.05308709105063042,0.925216276909077
gradboost,9.114627360797372e-05,2.0138151266389337e-05,0.0001676876233995453,0.0002807533967180014,0.9994402745550081
gradboost_dft,0.000176855964122934,4.361547666840703e-05,0.0005314864006801119,0.0011288351152052008,0.9981192070433234
