category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Tipperary,Upperchurch,0.64,0.6333333333333333,0.82,0.7,0.74,0.88,0.28,0.7111111111111111,0,0,1,0.6574468085106383,0.66,0.66,0.66,0.62,0.65,0.66,0.65,0.64,0.65,0.65
Village,Tipperary,Grange,0.7,0.7666666666666667,0.74,0.64,0.62,0.72,0.32,0.7111111111111111,0,0,1,0.6574468085106383,0.65,0.64,0.65,0.62,0.66,0.65,0.66,0.64,0.65,0.65
Village,Longford,Cullyfad,0.7,0.5666666666666667,0.9,0.74,0.62,0.74,0.28,0.7111111111111111,0,0,1,0.6574468085106383,0.65,0.65,0.65,0.62,0.64,0.65,0.66,0.64,0.65,0.65
Small Town,Westmeath,Castlepollard,0.78,0.7,0.84,0.66,0.54,0.9,0.26,0.6777777777777778,0,1,0,0.6574468085106383,0.66,0.66,0.66,0.63,0.66,0.67,0.67,0.66,0.66,0.66
Village,Kildare,Johnstown,0.8,0.75,0.82,0.66,0.76,0.8,0.24,0.6333333333333333,0,0,1,0.6574468085106383,0.66,0.66,0.66,0.62,0.66,0.66,0.66,0.66,0.67,0.67
Small Town,Sligo,Enniscrone,0.74,0.7333333333333333,0.84,0.58,0.7,0.78,0.24,0.7222222222222222,0,1,0,0.6574468085106383,0.66,0.66,0.66,0.63,0.65,0.66,0.66,0.65,0.66,0.66
Small Town,Limerick,Askeaton,0.64,0.7333333333333333,0.88,0.7,0.68,0.8,0.36,0.6222222222222222,0,1,0,0.6574468085106383,0.66,0.66,0.66,0.63,0.66,0.66,0.66,0.66,0.67,0.67
Village,Wexford,Kilanerin,0.72,0.8166666666666667,0.78,0.48,0.74,0.78,0.22,0.7222222222222222,0,0,1,0.6574468085106383,0.65,0.65,0.65,0.62,0.66,0.65,0.66,0.65,0.65,0.65
Village,Tipperary,Lattin,0.8,0.8,0.84,0.66,0.58,0.68,0.24,0.6555555555555556,0,0,1,0.6574468085106383,0.65,0.65,0.65,0.62,0.66,0.66,0.67,0.66,0.65,0.65
Small Town,Louth,Tullyallen,0.78,0.85,0.78,0.5,0.7,0.78,0.28,0.6555555555555556,0,1,0,0.6574468085106383,0.66,0.65,0.66,0.63,0.64,0.65,0.65,0.64,0.65,0.65
Village,Kilkenny,Gathabawn,0.68,0.7,0.74,0.74,0.68,0.76,0.34,0.6888888888888889,0,0,1,0.6574468085106383,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.64,0.65,0.65
Village,Cork,Baltimore,0.64,0.8166666666666667,0.9,0.56,0.6,0.78,0.32,0.6777777777777778,0,0,1,0.6574468085106383,0.65,0.66,0.65,0.62,0.67,0.66,0.66,0.66,0.65,0.65
Village,Wicklow,Roundwood,0.76,0.7166666666666667,0.68,0.6,0.66,0.78,0.32,0.6888888888888889,0,0,1,0.6574468085106383,0.64,0.64,0.64,0.62,0.66,0.65,0.65,0.63,0.64,0.64
Village,Carlow,Rathvilly,0.68,0.8,0.82,0.5,0.78,0.8,0.26,0.6888888888888889,0,0,1,0.6574468085106383,0.66,0.65,0.66,0.62,0.64,0.66,0.65,0.65,0.65,0.65
Village,Kildare,Kilmead,0.7,0.9166666666666666,0.9,0.66,0.58,0.74,0.3,0.6222222222222222,0,0,1,0.6553191489361702,0.66,0.67,0.66,0.62,0.66,0.66,0.66,0.66,0.66,0.66
Village,Westmeath,Multyfarnham,0.74,0.7,0.86,0.54,0.62,0.88,0.26,0.6666666666666666,0,0,1,0.6553191489361702,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.65,0.65,0.65
Village,Tipperary,Ballingarry (North),0.88,0.5833333333333334,0.94,0.52,0.74,0.64,0.26,0.7666666666666667,0,0,1,0.6553191489361702,0.66,0.65,0.66,0.62,0.65,0.65,0.64,0.62,0.65,0.65
Village,Tipperary,Bansha,0.72,0.8,0.84,0.56,0.68,0.72,0.26,0.6111111111111112,0,0,1,0.6553191489361702,0.64,0.64,0.64,0.62,0.66,0.65,0.65,0.64,0.63,0.63
Village,Louth,Stabannon,0.72,0.75,0.76,0.7,0.7,0.82,0.3,0.6666666666666666,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.65,0.65,0.66,0.65,0.66,0.66
Small Town,Mayo,Crossmolina,0.76,0.6666666666666666,0.74,0.7,0.58,0.72,0.42,0.7111111111111111,0,1,0,0.6553191489361702,0.65,0.65,0.65,0.63,0.66,0.65,0.65,0.64,0.65,0.65
Small Town,Dublin,Foxrock,0.68,0.7166666666666667,0.78,0.5,0.72,0.78,0.4,0.7111111111111111,0,1,0,0.6553191489361702,0.65,0.65,0.65,0.63,0.66,0.65,0.65,0.64,0.65,0.65
Village,Mayo,Bonniconlon,0.68,0.7,0.88,0.56,0.64,0.84,0.28,0.7444444444444445,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.68,0.66,0.66,0.65,0.66,0.66
Small Town,Mayo,Kiltimagh,0.6,0.6833333333333333,0.86,0.78,0.6,0.86,0.28,0.6777777777777778,0,1,0,0.6553191489361702,0.66,0.66,0.66,0.63,0.65,0.66,0.66,0.66,0.66,0.66
Village,Clare,Kildysart,0.74,0.6666666666666666,0.78,0.48,0.7,0.92,0.32,0.6888888888888889,0,0,1,0.6553191489361702,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.63,0.66,0.66
Village,Tipperary,Drangan,0.7,0.8333333333333334,0.88,0.48,0.6,0.86,0.28,0.7,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.68,0.67,0.67,0.65,0.66,0.66
Village,Cork,Sallybrook,0.7,0.6666666666666666,0.84,0.72,0.62,0.74,0.32,0.7444444444444445,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.64,0.65,0.65,0.64,0.65,0.65
Large Town,Galway,Ballinasloe,0.66,0.7166666666666667,0.9,0.72,0.7,0.8,0.4,0.5666666666666667,0,0,0,0.6553191489361702,0.66,0.66,0.66,0.63,0.66,0.65,0.65,0.66,0.66,0.66
Village,Waterford,Fenor,0.7,0.7333333333333333,0.74,0.88,0.5,0.76,0.3,0.6666666666666666,0,0,1,0.6553191489361702,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.64,0.65,0.65
Village,Mayo,Kilkeeran,0.64,0.6833333333333333,0.82,0.7,0.64,0.74,0.36,0.7222222222222222,0,0,1,0.6553191489361702,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.65,0.66,0.66
Small Town,Limerick,Croom,0.7,0.7333333333333333,0.82,0.7,0.72,0.8,0.36,0.6,0,1,0,0.6553191489361702,0.66,0.66,0.66,0.63,0.66,0.66,0.66,0.65,0.66,0.66
Village,Mayo,Louisburgh,0.68,0.8,0.74,0.66,0.6,0.86,0.34,0.6555555555555556,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.66,0.65,0.65,0.65,0.66,0.66
Village,Cavan,Lough Gowna,0.7,0.7333333333333333,0.82,0.62,0.68,0.78,0.3,0.7,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.65,0.66,0.65,0.65,0.65,0.65
Village,Leitrim,Mohill,0.68,0.75,0.82,0.54,0.62,0.86,0.46,0.6333333333333333,0,0,1,0.6553191489361702,0.66,0.66,0.66,0.62,0.66,0.65,0.65,0.65,0.65,0.65
Village,Laois,Killenard,0.68,0.6,0.9,0.58,0.76,0.74,0.44,0.6666666666666666,0,0,1,0.6553191489361702,0.65,0.65,0.65,0.62,0.65,0.64,0.64,0.63,0.64,0.64
Village,Laois,Cullohill,0.78,0.5666666666666667,0.86,0.68,0.68,0.72,0.38,0.6555555555555556,0,0,1,0.6553191489361702,0.65,0.65,0.65,0.62,0.65,0.65,0.66,0.64,0.65,0.65
Village,Donegal,Doochary,0.72,0.6833333333333333,0.84,0.56,0.7,0.82,0.36,0.7222222222222222,0,0,1,0.6553191489361702,0.67,0.66,0.67,0.62,0.66,0.66,0.66,0.66,0.67,0.67
Small Town,Longford,Lanesborough,0.66,0.65,0.74,0.66,0.74,0.76,0.34,0.6,0,1,0,0.6531914893617021,0.63,0.63,0.63,0.63,0.65,0.64,0.64,0.63,0.64,0.64
Village,Waterford,Clashmore,0.68,0.7,0.8,0.68,0.58,0.8,0.3,0.7111111111111111,0,0,1,0.6531914893617021,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Village,Louth,Grange,0.74,0.7833333333333333,0.82,0.6,0.66,0.86,0.28,0.6,0,0,1,0.6531914893617021,0.65,0.65,0.65,0.62,0.66,0.66,0.66,0.65,0.65,0.65
Village,Wicklow,Knockananna,0.62,0.7,0.82,0.5,0.66,0.86,0.36,0.7,0,0,1,0.6531914893617021,0.65,0.64,0.65,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Village,Galway,Caltra,0.76,0.65,0.84,0.62,0.66,0.78,0.34,0.6888888888888889,0,0,1,0.6531914893617021,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Small Town,Laois,Stradbally,0.7,0.6666666666666666,0.88,0.66,0.78,0.82,0.32,0.6111111111111112,0,1,0,0.6531914893617021,0.66,0.66,0.66,0.63,0.63,0.65,0.65,0.65,0.66,0.66
Village,Kerry,Waterville,0.64,0.7166666666666667,0.8,0.52,0.68,0.78,0.46,0.7222222222222222,0,0,1,0.6531914893617021,0.66,0.65,0.66,0.62,0.65,0.65,0.65,0.65,0.66,0.66
Village,Longford,Newtownforbes,0.72,0.75,0.8,0.44,0.7,0.92,0.38,0.6333333333333333,0,0,1,0.6531914893617021,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.64,0.66,0.66
Large Town,Dublin,Terenure,0.74,0.7166666666666667,0.74,0.72,0.72,0.8,0.28,0.6,0,0,0,0.6531914893617021,0.65,0.65,0.65,0.63,0.64,0.65,0.65,0.64,0.65,0.65
Village,Offaly,Crinkill,0.78,0.8,0.82,0.58,0.74,0.8,0.38,0.5111111111111111,0,0,1,0.6531914893617021,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.66,0.65,0.65
Small Town,Wexford,Ferns,0.68,0.85,0.8,0.62,0.66,0.8,0.32,0.5666666666666667,0,1,0,0.6531914893617021,0.65,0.65,0.65,0.63,0.66,0.65,0.65,0.64,0.64,0.64
Village,Sligo,Mullaghmore,0.78,0.6666666666666666,0.92,0.62,0.6,0.84,0.24,0.6666666666666666,0,0,1,0.6510638297872341,0.65,0.66,0.65,0.62,0.65,0.65,0.65,0.65,0.64,0.64
Village,Limerick,Bruff,0.64,0.7666666666666667,0.84,0.74,0.62,0.74,0.36,0.6333333333333333,0,0,1,0.6510638297872341,0.65,0.65,0.65,0.62,0.64,0.65,0.65,0.66,0.66,0.66
Small Town,Monaghan,Castleblayney,0.7,0.6833333333333333,0.74,0.72,0.64,0.9,0.42,0.5888888888888889,0,1,0,0.6510638297872341,0.65,0.65,0.65,0.63,0.65,0.65,0.65,0.64,0.64,0.64
Village,Limerick,Mountcollins,0.62,0.65,0.84,0.78,0.6,0.78,0.42,0.6555555555555556,0,0,1,0.6510638297872341,0.65,0.65,0.65,0.62,0.64,0.65,0.65,0.65,0.65,0.65
Village,Tipperary,Kilcash,0.62,0.7166666666666667,0.82,0.5,0.64,0.84,0.28,0.7333333333333333,0,0,1,0.6510638297872341,0.64,0.64,0.64,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Large Town,Tipperary,Thurles,0.64,0.6666666666666666,0.8,0.68,0.74,0.86,0.34,0.6111111111111112,0,0,0,0.6510638297872341,0.65,0.65,0.65,0.63,0.65,0.65,0.65,0.64,0.65,0.65
Village,Laois,Clough,0.68,0.6333333333333333,0.84,0.42,0.78,0.8,0.32,0.7333333333333333,0,0,1,0.6510638297872341,0.64,0.64,0.64,0.62,0.63,0.64,0.64,0.63,0.64,0.64
Village,Cork,Kilcrohane,0.76,0.7166666666666667,0.8,0.52,0.62,0.8,0.26,0.7222222222222222,0,0,1,0.648936170212766,0.65,0.64,0.65,0.62,0.66,0.65,0.66,0.65,0.66,0.66
Village,Cork,Ladysbridge,0.68,0.7166666666666667,0.8,0.58,0.68,0.84,0.36,0.6666666666666666,0,0,1,0.648936170212766,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Large Urban Centre,Cork,Douglas,0.62,0.7333333333333333,0.86,0.76,0.7,0.82,0.34,0.5444444444444444,1,0,0,0.648936170212766,0.65,0.65,0.65,0.63,0.66,0.65,0.65,0.65,0.66,0.66
Village,Galway,Ballygar,0.66,0.6833333333333333,0.8,0.64,0.6,0.8,0.44,0.6444444444444445,0,0,1,0.648936170212766,0.65,0.64,0.65,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Village,Wicklow,Avoca,0.68,0.6833333333333333,0.84,0.52,0.72,0.82,0.3,0.7222222222222222,0,0,1,0.648936170212766,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.65,0.65,0.65
Village,Mayo,Kilmaine,0.68,0.6333333333333333,0.72,0.8,0.56,0.72,0.38,0.7222222222222222,0,0,1,0.648936170212766,0.64,0.64,0.64,0.62,0.65,0.64,0.64,0.62,0.64,0.64
Village,Clare,Corofin,0.74,0.65,0.84,0.58,0.76,0.76,0.32,0.6222222222222222,0,0,1,0.648936170212766,0.64,0.64,0.64,0.62,0.65,0.63,0.63,0.63,0.63,0.63
Small Town,Offaly,Daingean,0.74,0.75,0.86,0.62,0.76,0.78,0.38,0.5222222222222223,0,1,0,0.648936170212766,0.65,0.65,0.65,0.63,0.65,0.65,0.65,0.66,0.65,0.65
Small Town,Tipperary,Tipperary,0.7,0.8666666666666667,0.74,0.78,0.52,0.84,0.38,0.5444444444444444,0,1,0,0.648936170212766,0.65,0.65,0.65,0.63,0.65,0.65,0.65,0.65,0.65,0.65
Village,Tipperary,Newcastle,0.78,0.8,0.84,0.52,0.66,0.76,0.26,0.6777777777777778,0,0,1,0.648936170212766,0.65,0.65,0.65,0.62,0.67,0.66,0.66,0.65,0.66,0.66
Village,Limerick,Doon,0.7,0.7,0.76,0.7,0.72,0.84,0.32,0.6222222222222222,0,0,1,0.648936170212766,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.64,0.66,0.66
Village,Kerry,Ballylongford,0.66,0.7,0.76,0.62,0.64,0.8,0.38,0.6666666666666666,0,0,1,0.6468085106382979,0.64,0.64,0.64,0.62,0.65,0.64,0.65,0.64,0.64,0.64
Village,Limerick,Anglesborough,0.62,0.7166666666666667,0.82,0.66,0.64,0.84,0.32,0.6777777777777778,0,0,1,0.6468085106382979,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.65,0.65,0.65
Village,Westmeath,Collinstown,0.78,0.6833333333333333,0.8,0.62,0.72,0.82,0.22,0.6222222222222222,0,0,1,0.6468085106382979,0.64,0.64,0.64,0.62,0.66,0.64,0.64,0.65,0.65,0.65
Village,Wexford,Kilmuckridge,0.66,0.8333333333333334,0.84,0.6,0.66,0.84,0.28,0.6,0,0,1,0.6468085106382979,0.65,0.65,0.65,0.62,0.64,0.65,0.65,0.65,0.64,0.64
Village,Roscommon,Roosky,0.74,0.5833333333333334,0.88,0.58,0.6,0.78,0.4,0.7222222222222222,0,0,1,0.6468085106382979,0.65,0.65,0.65,0.62,0.67,0.65,0.65,0.65,0.65,0.65
Village,Tipperary,Clonmore,0.64,0.7,0.84,0.58,0.76,0.84,0.34,0.6333333333333333,0,0,1,0.6468085106382979,0.65,0.65,0.65,0.62,0.66,0.65,0.65,0.64,0.65,0.65
Small Town,Offaly,Ferbane,0.7,0.8,0.76,0.68,0.76,0.82,0.34,0.5222222222222223,0,1,0,0.6468085106382979,0.65,0.65,0.65,0.63,0.61,0.64,0.64,0.64,0.65,0.65
Village,Wexford,Ballymurn,0.7,0.6666666666666666,0.76,0.54,0.72,0.8,0.3,0.7333333333333333,0,0,1,0.6468085106382979,0.65,0.64,0.65,0.62,0.66,0.64,0.64,0.64,0.65,0.65
Village,Westmeath,Raharney/Ráth Áirne,0.66,0.6833333333333333,0.84,0.72,0.6,0.84,0.24,0.6777777777777778,0,0,1,0.6468085106382979,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.65,0.64,0.64
Village,Westmeath,Rosemount,0.76,0.75,0.9,0.48,0.64,0.74,0.3,0.6555555555555556,0,0,1,0.6468085106382979,0.64,0.64,0.64,0.62,0.65,0.65,0.65,0.64,0.64,0.64
Village,Monaghan,Ballinode,0.68,0.6666666666666666,0.8,0.68,0.78,0.78,0.34,0.6333333333333333,0,0,1,0.6468085106382979,0.65,0.65,0.65,0.62,0.65,0.65,0.65,0.64,0.65,0.65
Village,Leitrim,Fenagh,0.86,0.7,0.74,0.48,0.66,0.76,0.4,0.6666666666666666,0,0,1,0.6468085106382979,0.65,0.64,0.65,0.62,0.64,0.64,0.64,0.64,0.65,0.65
Large Town,Galway,Tuam,0.64,0.6833333333333333,0.78,0.76,0.52,0.8,0.4,0.6111111111111112,0,0,0,0.6446808510638298,0.64,0.64,0.64,0.63,0.61,0.64,0.64,0.64,0.64,0.64
Village,Tipperary,Puckane,0.8,0.6833333333333333,0.86,0.56,0.64,0.82,0.3,0.6444444444444445,0,0,1,0.6446808510638298,0.65,0.65,0.65,0.62,0.66,0.65,0.64,0.65,0.65,0.65
Village,Limerick,Knockainey,0.72,0.7,0.72,0.7,0.58,0.8,0.32,0.7,0,0,1,0.6446808510638298,0.65,0.65,0.65,0.62,0.68,0.65,0.65,0.64,0.64,0.64
Village,Monaghan,Ardaghey,0.66,0.8,0.72,0.74,0.6,0.72,0.3,0.7111111111111111,0,0,1,0.6446808510638298,0.65,0.65,0.65,0.62,0.66,0.64,0.64,0.63,0.63,0.63
Village,Dublin,Sandymount,0.78,0.6666666666666666,0.74,0.56,0.76,0.86,0.28,0.6444444444444445,0,0,1,0.6446808510638298,0.65,0.64,0.65,0.62,0.64,0.64,0.64,0.63,0.64,0.64
Village,Donegal,Kilcar,0.62,0.6833333333333333,0.8,0.52,0.64,0.78,0.34,0.7222222222222222,0,0,1,0.6446808510638298,0.63,0.63,0.63,0.62,0.65,0.65,0.65,0.64,0.65,0.65
Village,Westmeath,Ballynacargy,0.62,0.65,0.86,0.7,0.64,0.86,0.3,0.6444444444444445,0,0,1,0.6446808510638298,0.65,0.65,0.65,0.62,0.64,0.65,0.65,0.65,0.64,0.64
Small Town,Offaly,Banagher,0.7,0.7833333333333333,0.84,0.72,0.72,0.8,0.3,0.5111111111111111,0,1,0,0.6446808510638298,0.65,0.65,0.65,0.63,0.67,0.66,0.67,0.66,0.66,0.66
Village,Cork,Berrings,0.74,0.6833333333333333,0.78,0.56,0.68,0.72,0.42,0.7,0,0,1,0.6446808510638298,0.65,0.65,0.65,0.62,0.64,0.64,0.64,0.64,0.65,0.65
Village,Roscommon,Lecarrow,0.74,0.6333333333333333,0.84,0.66,0.56,0.76,0.3,0.7333333333333333,0,0,1,0.6446808510638298,0.65,0.65,0.65,0.62,0.64,0.65,0.65,0.64,0.65,0.65
Village,Cork,Carrigadrohid-Killardrish,0.72,0.6,0.68,0.68,0.66,0.84,0.28,0.6444444444444445,0,0,1,0.6425531914893617,0.63,0.62,0.63,0.62,0.64,0.62,0.61,0.61,0.62,0.62
Village,Longford,Legan,0.76,0.6333333333333333,0.86,0.56,0.7,0.76,0.32,0.6222222222222222,0,0,1,0.6425531914893617,0.64,0.64,0.64,0.62,0.65,0.64,0.64,0.63,0.63,0.63
Village,Galway,Dunmore,0.66,0.7,0.66,0.72,0.64,0.7,0.44,0.7,0,0,1,0.6425531914893617,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.62,0.64,0.64
Village,Waterford,Cappoquin,0.76,0.7,0.8,0.62,0.7,0.72,0.2,0.6777777777777778,0,0,1,0.6425531914893617,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.64,0.64,0.64
Village,Limerick,Ballyneety,0.66,0.6833333333333333,0.74,0.62,0.7,0.78,0.4,0.6555555555555556,0,0,1,0.6425531914893617,0.64,0.64,0.64,0.62,0.61,0.64,0.64,0.64,0.64,0.64
Small Town,Kerry,Dingle,0.7,0.75,0.8,0.6,0.7,0.86,0.4,0.5555555555555556,0,1,0,0.6425531914893617,0.65,0.65,0.65,0.63,0.65,0.64,0.64,0.64,0.64,0.64
Large Town,Wicklow,Blessington,0.62,0.6666666666666666,0.72,0.6,0.72,0.74,0.46,0.6222222222222222,0,0,0,0.6404255319148936,0.63,0.63,0.63,0.63,0.64,0.63,0.63,0.62,0.64,0.64
Village,Mayo,Newport,0.72,0.7333333333333333,0.74,0.7,0.5,0.86,0.36,0.6111111111111112,0,0,1,0.6404255319148936,0.64,0.64,0.64,0.62,0.65,0.64,0.64,0.64,0.65,0.65
Village,Leitrim,Jamestown,0.7,0.6833333333333333,0.82,0.52,0.66,0.76,0.52,0.6333333333333333,0,0,1,0.6404255319148936,0.65,0.64,0.65,0.62,0.64,0.64,0.64,0.64,0.64,0.64
Large Urban Centre,Westmeath,Mullingar,0.76,0.6833333333333333,0.84,0.5,0.74,0.88,0.24,0.5666666666666667,1,0,0,0.6404255319148936,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64
Village,Donegal,Culdaff,0.64,0.6333333333333333,0.72,0.74,0.56,0.76,0.42,0.6555555555555556,0,0,1,0.6404255319148936,0.63,0.63,0.63,0.62,0.65,0.63,0.63,0.62,0.63,0.63
Village,Monaghan,Drum,0.64,0.7833333333333333,0.72,0.8,0.6,0.66,0.44,0.6555555555555556,0,0,1,0.6404255319148936,0.65,0.65,0.65,0.62,0.64,0.63,0.63,0.62,0.64,0.64
Village,Mayo,Clare Island,0.7,0.6,0.7,0.74,0.72,0.82,0.32,0.6444444444444445,0,0,1,0.6404255319148936,0.64,0.64,0.64,0.62,0.64,0.63,0.63,0.61,0.63,0.63
Village,Limerick,Croagh,0.68,0.7166666666666667,0.88,0.54,0.68,0.78,0.3,0.6555555555555556,0,0,1,0.6404255319148936,0.64,0.64,0.64,0.62,0.66,0.64,0.64,0.64,0.64,0.64
Village,Cork,Schull,0.62,0.7833333333333333,0.76,0.58,0.62,0.86,0.26,0.6777777777777778,0,0,1,0.6404255319148936,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.64,0.63,0.63
Village,Tipperary,Carrig,0.78,0.5833333333333334,0.86,0.44,0.72,0.8,0.2,0.7888888888888889,0,0,1,0.6404255319148936,0.64,0.64,0.64,0.62,0.63,0.64,0.64,0.64,0.65,0.65
Village,Sligo,Drumcliffe Rathcormac,0.64,0.75,0.84,0.64,0.64,0.76,0.38,0.6111111111111112,0,0,1,0.6404255319148936,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.65,0.64,0.64
Small Town,Tipperary,Templemore,0.64,0.75,0.82,0.76,0.66,0.82,0.36,0.5333333333333333,0,1,0,0.6382978723404256,0.65,0.65,0.65,0.63,0.62,0.64,0.64,0.65,0.64,0.64
Village,Tipperary,Ballyneale,0.74,0.7166666666666667,0.84,0.38,0.66,0.78,0.26,0.7,0,0,1,0.6382978723404256,0.63,0.63,0.63,0.62,0.65,0.64,0.64,0.65,0.64,0.64
Village,Kilkenny,Goresbridge,0.72,0.65,0.74,0.68,0.58,0.7,0.42,0.6444444444444445,0,0,1,0.6382978723404256,0.63,0.63,0.63,0.62,0.63,0.63,0.64,0.62,0.63,0.63
Village,Cork,Kealkill,0.66,0.7,0.8,0.56,0.6,0.7,0.42,0.6777777777777778,0,0,1,0.6382978723404256,0.63,0.63,0.63,0.62,0.64,0.64,0.64,0.64,0.64,0.64
Small Town,Carlow,Borris,0.6,0.7833333333333333,0.82,0.56,0.66,0.82,0.3,0.6888888888888889,0,1,0,0.6382978723404256,0.65,0.65,0.65,0.63,0.64,0.64,0.64,0.65,0.64,0.64
Small Town,Cork,Mitchelstown,0.72,0.7166666666666667,0.78,0.52,0.62,0.88,0.38,0.6333333333333333,0,1,0,0.6382978723404256,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.64,0.64,0.64
Village,Monaghan,Tydavnet,0.68,0.7,0.8,0.64,0.58,0.78,0.3,0.7111111111111111,0,0,1,0.6382978723404256,0.64,0.64,0.64,0.62,0.65,0.64,0.64,0.65,0.65,0.65
Village,Limerick,Kilfinane,0.66,0.6666666666666666,0.82,0.7,0.62,0.86,0.4,0.5777777777777777,0,0,1,0.6382978723404256,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.65,0.64,0.64
Large Town,Cork,Mallow,0.7,0.75,0.8,0.52,0.64,0.86,0.36,0.6,0,0,0,0.6361702127659574,0.64,0.64,0.64,0.63,0.65,0.65,0.64,0.64,0.64,0.64
Village,Carlow,Ballymurphy,0.68,0.7166666666666667,0.92,0.44,0.78,0.68,0.22,0.7222222222222222,0,0,1,0.6361702127659574,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.63,0.63,0.63
Village,Sligo,Carney,0.6,0.7166666666666667,0.82,0.6,0.8,0.7,0.34,0.6,0,0,1,0.6361702127659574,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.62,0.63,0.63
Village,Cork,Glandore,0.74,0.5833333333333334,0.82,0.6,0.72,0.82,0.18,0.7111111111111111,0,0,1,0.6361702127659574,0.64,0.64,0.64,0.62,0.63,0.64,0.64,0.64,0.64,0.64
Village,Louth,Kilcurry,0.6,0.8333333333333334,0.74,0.72,0.58,0.68,0.34,0.6555555555555556,0,0,1,0.6361702127659574,0.64,0.64,0.64,0.62,0.64,0.63,0.63,0.64,0.63,0.63
Small Town,Cork,Carrigtwohill,0.7,0.6833333333333333,0.78,0.6,0.72,0.78,0.46,0.5222222222222223,0,1,0,0.6361702127659574,0.63,0.63,0.63,0.63,0.64,0.63,0.63,0.63,0.64,0.64
Village,Kerry,Moyvane,0.62,0.7666666666666667,0.8,0.72,0.66,0.72,0.28,0.6333333333333333,0,0,1,0.6361702127659574,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.64,0.65,0.65
Village,Westmeath,Ballinagore,0.72,0.7166666666666667,0.9,0.72,0.52,0.64,0.22,0.6888888888888889,0,0,1,0.6340425531914894,0.63,0.64,0.63,0.62,0.64,0.64,0.65,0.65,0.64,0.64
Small Town,Monaghan,Clones,0.64,0.8166666666666667,0.8,0.56,0.6,0.92,0.38,0.5444444444444444,0,1,0,0.6340425531914894,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.64,0.64,0.64
Village,Cork,Belgooly,0.7,0.6666666666666666,0.8,0.62,0.74,0.78,0.28,0.6444444444444445,0,0,1,0.6340425531914894,0.64,0.64,0.64,0.62,0.63,0.63,0.63,0.63,0.64,0.64
Small Town,Wicklow,Delgany,0.62,0.7,0.74,0.66,0.76,0.74,0.22,0.6444444444444445,0,1,0,0.6340425531914894,0.63,0.62,0.63,0.63,0.61,0.63,0.63,0.62,0.63,0.63
Large Town,Dublin,Clondalkin,0.66,0.75,0.74,0.56,0.66,0.76,0.42,0.5777777777777777,0,0,0,0.6340425531914894,0.63,0.63,0.63,0.63,0.61,0.62,0.62,0.62,0.61,0.61
Small Town,Kerry,Cahersiveen,0.68,0.7666666666666667,0.76,0.56,0.64,0.78,0.48,0.6,0,1,0,0.6340425531914894,0.64,0.64,0.64,0.63,0.64,0.63,0.63,0.63,0.63,0.63
