category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Leitrim,Drumshanbo,0.76,0.8,0.94,0.7,0.6,0.78,0.52,0.5777777777777777,0,0,1,0.6787234042553192,0.68,0.68,0.68,0.62,0.68,0.68,0.68,0.69,0.68,0.68
Village,Laois,Emo,0.68,0.7,0.88,0.78,0.64,0.84,0.36,0.7111111111111111,0,0,1,0.6787234042553192,0.68,0.68,0.68,0.62,0.68,0.68,0.68,0.68,0.68,0.68
Village,Carlow,St Mullins,0.72,0.85,0.82,0.72,0.66,0.74,0.36,0.6666666666666666,0,0,1,0.6787234042553192,0.68,0.68,0.68,0.62,0.68,0.68,0.68,0.68,0.68,0.68
Village,Mayo,Cong,0.7,0.6833333333333333,0.88,0.7,0.56,0.92,0.44,0.6666666666666666,0,0,1,0.676595744680851,0.68,0.68,0.68,0.62,0.68,0.68,0.68,0.69,0.68,0.68
Village,Donegal,Castlefinn,0.84,0.7,0.82,0.52,0.64,0.9,0.28,0.7111111111111111,0,0,1,0.676595744680851,0.67,0.66,0.67,0.62,0.66,0.67,0.67,0.65,0.67,0.67
Small Town,Kilkenny,Castlecomer,0.8,0.7,0.8,0.92,0.64,0.92,0.32,0.5555555555555556,0,1,0,0.676595744680851,0.68,0.68,0.68,0.63,0.68,0.67,0.67,0.65,0.67,0.67
Village,Tipperary,Kilbarron,0.86,0.7166666666666667,0.8,0.54,0.64,0.76,0.4,0.8,0,0,1,0.676595744680851,0.68,0.68,0.68,0.62,0.65,0.67,0.67,0.65,0.67,0.67
Large Urban Centre,Galway,Galway City Centre,0.7,0.7833333333333333,0.82,0.74,0.64,0.82,0.5,0.5777777777777777,1,0,0,0.676595744680851,0.68,0.67,0.68,0.63,0.68,0.67,0.67,0.66,0.67,0.67
Small Town,Carlow,Bagenalstown,0.68,0.6333333333333333,0.94,0.64,0.72,0.88,0.42,0.6222222222222222,0,1,0,0.674468085106383,0.67,0.67,0.67,0.63,0.67,0.67,0.67,0.66,0.67,0.67
Large Town,Cork,Bandon,0.74,0.75,0.94,0.64,0.7,0.9,0.34,0.6222222222222222,0,0,0,0.674468085106383,0.68,0.68,0.68,0.63,0.66,0.68,0.68,0.68,0.69,0.69
