r2_train,r2_test,rmse_train,rmse_test,best_params_,r2_total,rmse_total
0.9958551471617915,0.9958070056215523,0.7705693232646006,0.7721471377931188,{},0.986735549046911,2.741587554297836
0.9958535117393789,0.995818883926141,0.7707167429805319,0.771052656980604,{'alpha': 0.01},0.9867551758384489,2.739558503610022
0.9958551535534623,0.9958077966723193,0.7705685352458367,0.7720742976767373,{'alpha': 3.0},0.9867368188542177,2.741456324922385
0.9957496790014057,0.9957394634175896,0.780272486845021,0.7783412996252498,{'l1_ratio': 0.9658620689655173},0.9861458979834268,2.8018615500583475
0.9952741147476554,0.9954354862846757,0.8229378802796836,0.8056291726027119,"{'criterion': 'mse', 'max_depth': 9, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.9877800946995652,2.631427451111576
0.994795160459447,0.9952281219086652,0.8638537410343804,0.823725661779355,"{'criterion': 'mae', 'n_estimators': 100}",0.9928808060509217,2.0085048885718995
0.9952712592722743,0.9955452193653943,0.8232809984161865,0.7958864069604248,"{'max_samples': 0.3, 'n_estimators': 200}",0.9901497628728032,2.3625489938505786
0.9861954540524233,0.9887963821044885,1.4085741311132214,1.262167723722423,{'n_estimators': 10},0.9593999870019313,4.79645712931717
0.9956497190665816,0.9958059288197216,0.7895061550423371,0.7722462788844575,"{'loss': 'huber', 'max_depth': 3, 'n_estimators': 100}",0.9867953410181185,2.7354014681675127
0.9956453792262792,0.9957949053885558,0.7898917566435631,0.7732604745243358,{},0.9868746727117023,2.727172139927127
