"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village
47.398268112164594,59.20509295666088,50.14479437668055,46.383992785239414,45.93883567517299,52.45729125489897,48.53017168969341,86.53599332462326,-0.0011767536793794164,-0.4891068558819498,-0.7135098885399032
46.791524046021486,59.138815665062694,50.87748995113426,46.624992467164574,44.34953689806652,52.50121671609749,47.42205510494662,84.92610893062952,0.0,-0.28532564982563585,-0.5394581536832597
47.39896374145792,59.16262484082768,50.23085376416122,46.42167603533644,45.83554245346999,52.45814528573067,48.451428705625446,86.26306813982058,0.0054920711257488335,-0.48673812223996893,-0.7047632141249374
0.0,33.300259587823604,79.30577349406516,58.62776638771189,0.0,13.777824549564494,0.0,0.0,0.0,0.0,-0.0
0.05172879524581308,0.17328471096704487,0.4536736898973528,0.0728660183684495,0.028633171258779042,0.06712587790383577,0.04889249054565101,0.0988654781199352,0.0006753106428957321,0.0014181523500810375,0.002836304700162075
0.05520875475253594,0.14746558202180896,0.38480605509729043,0.12145035460413625,0.03121633073259683,0.10737670975604106,0.05084845149846672,0.09328482996659511,0.000996315805616393,0.003819215756936507,0.0035274000079758396
,,,,,,,,,,
0.05895308074695342,0.18700155048655567,0.3660831721447511,0.13073262363541516,0.0190338107448467,0.11525310287777905,0.031841434907954234,0.0911012244557448,0.0,0.0,0.0
0.03477745842791837,0.18562137585199717,0.39430981349686295,0.10686361694628357,0.013658951598268286,0.15562179382452387,0.031024202027915032,0.07794404595616923,0.0,9.104282123706609e-05,8.769904882435102e-05
0.03494835538057736,0.18561511874911818,0.39431690698667815,0.10687235910466349,0.01351902812590986,0.1556164641509566,0.030992930397363727,0.07794027708751175,0.0,9.085436712250875e-05,8.77056500983368e-05
