category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_knn,pred_svr,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Small Town,Offaly,Birr,0.66,0.8166666666666667,0.92,0.74,0.7,0.98,0.34,0.5222222222222223,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,332.0,321.2,321.33,321.25,320.14,332.0,324.49,327.5,328.04,327.63,326.27,328.34,328.34
Village,Kerry,Sneem,0.8,0.8,0.82,0.76,0.6,0.86,0.48,0.7111111111111111,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,332.0,334.85,334.66,334.8,310.4,308.0,333.37,323.0,330.37,330.05,326.29,332.79,332.79
Village,Wexford,Blackwater,0.76,0.8,0.92,0.64,0.66,0.88,0.26,0.7222222222222222,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,332.0,325.75,325.67,325.72,313.01,332.0,325.82,332.0,330.52,330.22,326.27,326.63,326.63
Village,Westmeath,Ballinahown,0.78,0.8166666666666667,0.9,0.66,0.66,0.84,0.38,0.7444444444444445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,332.0,332.52,332.65,332.48,312.19,330.68,333.12,329.0,333.88,333.82,329.06,336.13,336.13
Village,Cork,Eyeries,0.76,0.8,0.9,0.72,0.7,0.86,0.42,0.6777777777777778,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,332.0,333.38,333.38,333.35,315.25,332.0,333.78,331.0,332.02,331.93,331.2,334.15,334.15
Village,Longford,Newtowncashel,0.86,0.8,0.92,0.7,0.64,0.84,0.34,0.6888888888888889,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,332.0,330.93,330.98,330.92,315.65,332.0,330.38,334.0,331.77,331.7,329.06,332.41,332.41
Village,Clare,Ballyvaughan,0.6,0.8,0.88,0.7,0.64,1.0,0.32,0.7555555555555555,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,332.0,329.41,329.54,329.38,314.39,332.0,329.47,327.5,329.87,329.16,323.16,330.06,330.06
Large Town,Roscommon,Roscommon,0.66,0.7833333333333333,0.92,0.78,0.62,0.92,0.52,0.6444444444444445,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,332.0,332.98,332.93,332.96,320.62,332.0,331.77,331.0,331.08,330.58,326.8,331.1,331.1
Village,Mayo,Mulranny,0.76,0.7666666666666667,0.88,0.92,0.6,0.82,0.36,0.6888888888888889,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,332.0,330.58,330.55,330.58,322.78,332.0,331.37,331.0,330.91,330.16,326.8,331.01,331.01
Large Town,Louth,Ardee,0.74,0.9166666666666666,0.84,0.8,0.74,0.84,0.38,0.5777777777777777,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,332.0,330.22,330.03,330.2,316.87,312.32,332.18,326.0,323.49,323.36,318.65,320.58,320.58
Village,Limerick,Galbally,0.78,0.8166666666666667,0.84,0.78,0.58,0.84,0.44,0.6888888888888889,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,332.0,330.42,330.35,330.39,313.34,332.0,332.23,335.0,331.31,330.67,326.8,331.21,331.21
Village,Leitrim,Dromod,0.78,0.75,0.94,0.64,0.64,0.9,0.42,0.7444444444444445,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,332.0,334.49,334.49,334.45,313.8,332.0,334.03,332.0,331.57,332.08,328.14,331.12,331.12
Village,Clare,Mountshannon,0.8,0.8833333333333333,0.94,0.72,0.64,0.9,0.34,0.6555555555555556,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,331.0,334.97,335.12,334.98,321.35,331.0,335.6,329.0,333.66,333.26,328.73,333.18,333.18
Village,Kerry,Knightstown,0.78,0.7833333333333333,0.86,0.66,0.66,0.88,0.42,0.7222222222222222,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,331.0,331.25,331.2,331.2,308.43,331.0,333.87,331.0,331.24,330.94,327.19,332.2,332.2
Village,Roscommon,Ballintubber,0.8,0.6833333333333333,0.92,0.78,0.58,0.86,0.46,0.7333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,331.0,333.21,333.18,333.19,317.31,331.0,332.15,327.0,330.52,329.88,327.83,330.82,330.82
Large Town,Mayo,Castlebar,0.72,0.8166666666666667,0.92,0.78,0.7,0.86,0.44,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,331.0,330.24,330.09,330.24,320.6,331.0,330.77,338.0,331.56,331.54,329.21,333.85,333.85
Village,Louth,Knockbridge,0.72,0.8666666666666667,0.82,0.82,0.64,0.96,0.4,0.6111111111111112,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,331.0,331.22,331.32,331.22,316.63,331.0,332.37,326.0,328.49,328.91,324.02,331.89,331.89
Village,Cork,Timoleague,0.66,0.7666666666666667,0.88,0.84,0.62,0.88,0.38,0.7333333333333333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,331.0,331.23,331.18,331.19,319.35,331.0,330.92,327.5,329.57,330.18,326.09,331.03,331.03
Village,Donegal,Carrigart,0.8,0.8,0.98,0.8,0.54,0.8,0.42,0.6666666666666666,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,331.0,330.89,330.94,330.91,325.66,331.0,331.51,326.0,331.3,331.42,331.31,333.57,333.57
Village,Limerick,Ardpatrick,0.74,0.7166666666666667,0.94,0.74,0.66,0.88,0.44,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331.0,331.06,331.14,331.04,318.03,331.0,333.73,327.0,329.35,329.72,327.19,329.44,329.44
Village,Roscommon,Cloontuskert,0.8,0.7166666666666667,0.88,0.64,0.66,0.84,0.44,0.7666666666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331.0,330.56,330.45,330.51,306.91,297.59,332.58,327.0,325.9,326.12,326.8,328.94,328.94
Large Urban Centre,Kerry,Tralee,0.66,0.8,0.92,0.82,0.7,0.86,0.44,0.6111111111111112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,331.0,328.1,328.22,328.1,322.32,331.0,327.87,331.0,329.63,329.64,328.73,330.35,330.35
Village,Offaly,Clonbullogue,0.84,0.8333333333333334,0.84,0.78,0.72,0.88,0.4,0.5888888888888889,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,331.0,333.04,332.97,333.03,314.31,331.0,331.23,326.0,330.6,330.22,326.09,332.81,332.81
Small Town,Wexford,Rosslare,0.72,0.9,0.92,0.7,0.7,0.76,0.3,0.7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,331.0,326.88,326.82,326.85,317.0,331.0,328.77,331.0,328.08,328.08,322.98,327.87,327.87
Village,Cork,Castletownroche,0.8,0.7666666666666667,0.92,0.76,0.68,0.88,0.38,0.6666666666666666,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,331.0,334.04,333.95,334.03,318.58,331.0,332.2,332.0,331.92,332.21,327.86,334.24,334.24
Small Town,Dublin,Cabinteely,0.74,0.7166666666666667,0.82,0.68,0.76,0.82,0.52,0.6888888888888889,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,331.0,328.37,327.98,328.29,303.52,331.0,329.92,323.0,325.52,325.17,314.65,328.97,328.97
Village,Kerry,Portmagee,0.66,0.8166666666666667,0.88,0.68,0.66,0.86,0.44,0.7333333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,331.0,329.35,329.34,329.3,311.79,331.0,330.42,331.0,330.46,330.77,329.5,331.72,331.72
Small Town,Cork,Skibbereen,0.76,0.7833333333333333,0.86,0.74,0.64,0.88,0.42,0.6666666666666666,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,331.0,328.82,328.66,328.79,312.69,331.0,327.69,331.0,330.74,330.2,327.83,332.54,332.54
Village,Cork,Innishannon,0.76,0.7666666666666667,0.94,0.68,0.66,0.94,0.36,0.6888888888888889,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,330.0,331.36,331.3,331.34,316.9,307.85,331.36,332.0,331.34,330.58,327.31,332.33,332.33
Village,Sligo,Riverstown,0.66,0.8,0.88,0.7,0.72,0.9,0.42,0.6555555555555556,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,330.0,327.24,327.19,327.22,313.0,318.58,327.97,331.0,327.58,327.49,327.99,331.52,331.52
Village,Donegal,Malin,0.82,0.7833333333333333,0.9,0.7,0.64,0.88,0.28,0.7333333333333333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,330.0,330.07,329.95,330.03,314.05,307.93,330.96,334.0,331.31,330.95,324.5,331.77,331.77
Large Urban Centre,Louth,Drogheda,0.72,0.8833333333333333,0.86,0.78,0.68,0.88,0.38,0.6111111111111112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,330.0,329.79,328.87,329.77,317.29,343.5,326.26,326.0,328.19,327.11,325.34,331.05,331.05
Small Town,Cork,Macroom,0.76,0.8,0.9,0.8,0.68,0.84,0.38,0.6555555555555556,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,330.0,330.99,330.89,330.98,319.23,330.0,330.23,331.0,329.54,329.81,329.21,331.88,331.88
Village,Carlow,Ballon,0.7,0.7833333333333333,0.88,0.68,0.66,0.78,0.44,0.7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,329.0,323.58,323.45,323.55,309.85,329.0,322.78,329.0,327.05,328.1,326.29,327.17,327.17
Village,Clare,Tuamgraney,0.72,0.75,0.92,0.7,0.56,0.92,0.36,0.7444444444444445,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,329.0,328.23,328.15,328.21,315.53,329.0,328.77,326.0,327.42,327.7,324.5,327.98,327.98
Village,Galway,Monivea,0.68,0.7666666666666667,0.92,0.78,0.64,0.76,0.44,0.7222222222222222,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,329.0,328.11,328.11,328.09,317.98,329.0,328.77,329.0,328.09,328.96,327.16,328.49,328.49
Village,Laois,Castletown,0.8,0.85,0.98,0.64,0.66,0.82,0.36,0.6555555555555556,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,329.0,329.09,329.25,329.09,318.65,329.0,329.23,329.0,330.06,330.38,327.86,329.1,329.1
Large Town,Waterford,Dungarvan,0.88,0.7666666666666667,0.92,0.66,0.6,0.9,0.34,0.6888888888888889,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,329.0,329.49,329.41,329.47,313.53,329.0,329.23,334.0,329.88,329.84,326.09,330.77,330.77
Large Town,Monaghan,Monaghan,0.78,0.8,0.8,0.78,0.7,0.96,0.42,0.5888888888888889,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,328.0,330.79,330.52,330.77,311.11,328.0,327.77,323.0,326.88,326.7,324.54,328.79,328.79
Small Town,Mayo,Belmullet/Beal An Mhuirthead,0.78,0.8166666666666667,0.92,0.7,0.66,0.86,0.38,0.6555555555555556,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,328.0,328.97,328.9,328.96,316.34,328.0,328.15,329.0,329.59,329.92,329.06,331.9,331.9
Village,Carlow,Clonmore,0.72,0.7833333333333333,0.86,0.6,0.6,0.92,0.4,0.7444444444444445,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,327.0,325.33,325.33,325.29,305.79,327.0,327.19,327.0,324.57,325.03,313.35,324.47,324.47
Small Town,Cork,Millstreet,0.7,0.7666666666666667,0.9,0.68,0.68,0.86,0.34,0.7444444444444445,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,327.0,328.02,327.78,327.97,312.3,332.16,328.67,319.0,326.07,326.23,324.54,329.1,329.1
Large Town,Cavan,Cavan,0.74,0.7333333333333333,0.96,0.64,0.68,0.88,0.4,0.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,327.0,328.83,328.51,328.8,314.86,327.0,327.23,327.0,326.92,326.68,326.27,326.61,326.61
Village,Westmeath,Tyrrellspass,0.74,0.7333333333333333,0.9,0.74,0.74,0.94,0.32,0.6111111111111112,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,327.0,324.41,324.46,324.42,315.78,327.0,324.67,327.0,324.89,324.53,314.14,325.17,325.17
Village,Cork,Kilworth,0.9,0.7166666666666667,0.9,0.64,0.68,0.84,0.34,0.7111111111111111,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,327.0,329.12,328.91,329.08,308.65,327.0,326.77,327.0,325.21,325.5,324.5,327.82,327.82
Village,Tipperary,Dundrum,0.88,0.75,0.86,0.7,0.82,0.76,0.24,0.6333333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,327.0,323.25,322.91,323.24,308.07,327.0,327.23,326.0,321.98,323.17,313.06,322.67,322.67
Village,Wicklow,Grangecon,0.76,0.7833333333333333,0.88,0.62,0.6,0.86,0.26,0.7222222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0,319.86,319.8,319.86,307.77,327.0,326.77,327.0,325.07,325.89,316.47,322.86,322.86
Large Urban Centre,Louth,Dundalk,0.76,0.9,0.86,0.68,0.66,0.9,0.42,0.5777777777777777,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,327.0,328.23,327.15,328.21,312.65,318.26,323.71,326.0,328.6,329.14,328.15,326.94,326.94
Large Urban Centre,Dublin,Malahide,0.76,0.9166666666666666,0.84,0.7,0.8,0.88,0.3,0.5666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,327.0,328.15,328.05,328.14,312.11,330.99,329.67,326.0,321.59,322.11,317.61,318.12,318.12
Small Town,Louth,Carlingford,0.78,0.8333333333333334,0.84,0.64,0.68,0.86,0.38,0.6333333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,326.0,323.03,322.91,323.0,306.58,326.0,323.0,326.0,324.44,324.67,321.72,324.13,324.13
Large Town,Dublin,Shankill,0.84,0.7333333333333333,0.9,0.74,0.72,0.76,0.34,0.6444444444444445,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,326.0,323.21,322.9,323.19,313.28,326.0,326.05,326.0,324.48,324.9,319.17,326.63,326.63
Small Town,Meath,Athboy,0.72,0.7833333333333333,0.86,0.7,0.64,0.9,0.42,0.6444444444444445,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,326.0,324.44,324.38,324.43,310.84,326.0,325.77,326.0,326.24,325.82,324.23,326.79,326.79
Village,Laois,Ballacolla,0.76,0.8,0.94,0.74,0.62,0.8,0.34,0.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,326.0,327.26,327.34,327.27,318.97,326.0,325.77,331.0,326.92,326.62,329.21,329.84,329.84
Small Town,Donegal,Raphoe,0.74,0.85,0.84,0.76,0.6,0.84,0.32,0.6888888888888889,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,326.0,324.02,324.12,324.0,313.1,326.0,326.23,335.0,325.05,324.7,317.82,326.18,326.18
Small Town,Roscommon,Tarmonbarry,0.84,0.7333333333333333,0.9,0.74,0.66,0.86,0.36,0.6444444444444445,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,326.0,326.33,326.26,326.33,314.67,326.0,326.23,327.0,325.74,325.73,324.54,325.03,325.03
Small Town,Tipperary,Cahir,0.78,0.8666666666666667,0.82,0.72,0.7,0.88,0.44,0.5777777777777777,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,326.0,328.44,328.31,328.42,310.19,326.0,326.23,326.0,326.94,326.96,325.37,324.92,324.92
Large Urban Centre,Kildare,Leixlip,0.76,0.9,0.8,0.74,0.74,0.78,0.44,0.6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,326.0,327.14,326.93,327.1,308.94,326.0,326.23,321.0,323.76,323.76,324.53,327.82,327.82
Small Town,Limerick,Castleconnell,0.76,0.7166666666666667,0.86,0.64,0.74,0.84,0.42,0.7111111111111111,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,326.0,327.05,326.74,326.99,305.16,325.48,326.26,327.0,323.24,322.98,324.53,329.49,329.49
Small Town,Kildare,Rathangan,0.64,0.9166666666666666,0.86,0.84,0.54,0.8,0.44,0.6444444444444445,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,326.0,325.79,325.79,325.78,320.19,326.0,326.23,329.0,324.1,324.37,325.34,325.59,325.59
Village,Cork,Kildorrery,0.76,0.75,0.9,0.66,0.64,0.82,0.38,0.7333333333333333,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,326.0,326.23,326.06,326.19,310.26,326.0,324.46,331.0,326.04,326.26,325.34,328.18,328.18
Village,Cork,Kiskeam,0.72,0.7333333333333333,0.92,0.64,0.66,0.92,0.32,0.7777777777777778,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,326.0,328.93,328.96,328.89,311.93,326.0,329.08,326.0,325.43,325.7,314.55,326.77,326.77
Large Urban Centre,Cork,Carrigaline,0.72,0.8,0.92,0.74,0.7,0.9,0.36,0.6222222222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,325.0,326.43,326.55,326.43,318.62,325.0,327.11,326.0,325.58,325.15,326.8,330.57,330.57
Small Town,Donegal,Moville,0.72,0.7166666666666667,0.84,0.7,0.74,0.92,0.38,0.6333333333333333,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,325.0,321.98,321.82,321.95,307.73,300.98,319.11,323.0,318.09,317.88,311.63,319.71,319.71
Village,Cork,Castlelyons-Bridesbridge,0.8,0.8,0.9,0.74,0.66,0.78,0.4,0.6444444444444445,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,325.0,325.89,325.87,325.88,315.2,325.0,324.77,326.0,326.27,326.6,329.21,329.25,329.25
Small Town,Tipperary,Cashel,0.82,0.7666666666666667,0.92,0.56,0.66,0.92,0.38,0.6555555555555556,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,325.0,324.54,324.47,324.53,308.49,325.0,324.77,322.0,320.8,321.06,312.85,322.96,322.96
Village,Cavan,Redhills,0.72,0.7666666666666667,0.92,0.66,0.62,0.84,0.34,0.7666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,325.0,325.83,326.01,325.8,312.7,325.0,326.12,326.0,325.9,326.15,324.54,330.72,330.72
Village,Cork,Glengarriff,0.7,0.8,0.88,0.72,0.62,0.86,0.26,0.7333333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,325.0,321.87,321.88,321.85,313.5,316.35,323.51,319.0,324.81,325.92,319.17,323.73,323.73
Large Town,Dublin,Raheny,0.74,0.7666666666666667,0.82,0.76,0.66,0.82,0.4,0.6444444444444445,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,324.0,320.95,320.65,320.92,309.02,324.0,320.39,323.0,323.36,323.12,316.59,322.56,322.56
Village,Clare,Ruan,0.76,0.8166666666666667,0.88,0.66,0.56,0.8,0.3,0.7666666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,324.0,321.37,321.48,321.35,309.88,324.0,323.77,331.0,325.14,325.76,325.32,326.69,326.69
Small Town,Limerick,Kilmallock,0.66,0.7666666666666667,0.9,0.7,0.68,0.84,0.46,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,324.0,323.8,323.84,323.77,313.08,324.0,323.77,331.0,324.5,324.6,326.29,327.49,327.49
Village,Laois,Durrow,0.7,0.8,0.94,0.66,0.68,0.94,0.36,0.6222222222222222,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,324.0,325.59,325.61,325.6,316.66,324.0,322.71,327.5,324.84,323.76,325.34,325.48,325.48
Village,Wexford,Duncormick,0.74,0.7333333333333333,0.88,0.6,0.64,0.84,0.3,0.7333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,323.0,315.88,315.9,315.86,305.19,323.0,317.57,321.5,321.18,321.32,309.55,316.84,316.84
Small Town,Louth,Dromiskin,0.72,0.85,0.8,0.7,0.54,0.68,0.5,0.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,323.0,317.49,317.47,317.44,304.18,323.0,322.77,331.0,320.25,320.99,312.51,319.65,319.65
Village,Cork,Glounthaune,0.64,0.7666666666666667,0.84,0.76,0.68,0.8,0.38,0.6555555555555556,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,323.0,315.6,315.6,315.58,310.49,323.0,317.54,319.0,319.61,319.56,312.82,316.81,316.81
Village,Louth,Reaghstown,0.78,0.9,0.82,0.58,0.66,0.84,0.34,0.7333333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,323.0,326.47,326.45,326.41,303.0,323.0,325.48,321.5,320.7,320.23,311.85,322.53,322.53
Village,Sligo,Ballintogher,0.74,0.8,0.86,0.6,0.68,0.84,0.36,0.7222222222222222,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,323.0,322.45,322.44,322.41,305.09,323.0,322.91,321.5,321.89,322.15,314.67,321.82,321.82
Large Urban Centre,Dublin,Swords,0.72,0.8666666666666667,0.82,0.72,0.66,0.82,0.42,0.6333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,323.0,323.88,322.88,323.84,309.36,326.48,321.26,326.0,323.08,323.32,320.79,322.21,322.21
Village,Cork,Bere Island,0.72,0.8,0.74,0.78,0.64,0.8,0.4,0.7333333333333333,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,323.0,324.41,324.16,324.34,303.65,312.28,326.41,309.0,311.87,310.33,308.56,321.03,321.03
Village,Kildare,Ardclough,0.78,0.8333333333333334,0.82,0.82,0.72,0.8,0.36,0.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,323.0,324.79,324.91,324.78,313.58,323.0,326.42,321.0,324.02,322.93,319.17,325.69,325.69
Village,Kildare,Broadford,0.66,0.85,0.94,0.66,0.64,0.86,0.36,0.6888888888888889,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,323.0,325.65,325.62,325.63,316.78,323.0,324.77,319.0,325.22,325.34,327.19,325.25,325.25
Village,Tipperary,Portroe,0.8,0.6833333333333333,0.9,0.58,0.72,0.82,0.28,0.7777777777777778,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,322.0,321.96,321.74,321.9,304.36,322.0,322.22,321.5,318.94,319.2,308.44,319.59,319.59
Large Town,Mayo,Ballina,0.7,0.8166666666666667,0.9,0.82,0.64,0.82,0.44,0.5666666666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,322.0,322.82,322.71,322.84,320.43,322.0,322.23,329.0,323.09,323.43,327.83,321.69,321.69
Large Town,Dublin,Lucan,0.74,0.8333333333333334,0.92,0.72,0.66,0.84,0.26,0.6111111111111112,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,322.0,318.27,318.18,318.28,317.54,322.0,321.77,329.0,322.56,322.88,324.53,321.53,321.53
Large Town,Tipperary,Roscrea,0.76,0.7666666666666667,0.94,0.62,0.76,0.94,0.36,0.5888888888888889,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,322.0,325.28,325.11,325.28,313.71,322.0,321.77,322.0,321.8,321.38,324.02,325.01,325.01
Large Urban Centre,Kildare,Celbridge,0.78,0.8,0.78,0.78,0.76,0.82,0.38,0.6111111111111112,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,322.0,323.7,323.5,323.67,307.41,322.0,321.77,323.0,321.17,320.96,312.01,321.31,321.31
Large Urban Centre,Wexford,Wexford,0.8,0.85,0.88,0.62,0.74,0.92,0.36,0.5222222222222223,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,322.0,320.18,320.19,320.2,310.25,322.0,321.77,322.0,321.81,322.96,326.8,323.07,323.07
Village,Tipperary,Killoscully,0.76,0.7333333333333333,0.84,0.66,0.64,0.86,0.36,0.7333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,321.0,322.41,322.37,322.38,305.17,321.0,321.23,323.0,321.17,320.83,316.29,323.74,323.74
Village,Clare,Labasheeda,0.7,0.7666666666666667,0.86,0.7,0.62,0.92,0.36,0.6444444444444445,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,321.0,319.57,319.73,319.59,310.71,330.8,320.63,327.5,321.84,320.58,316.47,322.7,322.7
Village,Wexford,Bree,0.72,0.8333333333333334,0.88,0.68,0.62,0.8,0.28,0.6555555555555556,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,321.0,314.21,314.4,314.23,311.36,321.0,317.81,321.0,320.45,320.9,317.85,320.65,320.65
Village,Wexford,Clonroche,0.74,0.8333333333333334,0.92,0.72,0.6,0.78,0.28,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,321.0,318.52,318.57,318.53,316.7,321.0,321.23,319.0,321.93,322.63,323.16,322.5,322.5
Village,Kilkenny,Kells,0.72,0.7333333333333333,0.8,0.72,0.7,0.82,0.34,0.7333333333333333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,321.0,321.07,320.89,321.01,304.32,321.0,321.65,323.0,320.46,319.59,312.33,322.53,322.53
Village,Wicklow,Stratford-On-Slaney,0.8,0.7166666666666667,0.92,0.64,0.64,0.76,0.42,0.7111111111111111,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,321.0,324.87,324.48,324.84,309.29,321.0,321.23,331.0,322.88,322.62,326.27,326.26,326.26
Large Urban Centre,Sligo,Sligo,0.72,0.8333333333333334,0.92,0.68,0.64,0.9,0.44,0.5333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,321.0,319.94,320.0,319.97,316.25,321.0,320.77,329.0,324.51,324.27,328.15,324.36,324.36
Large Town,Tipperary,Nenagh,0.84,0.7666666666666667,0.86,0.56,0.72,0.86,0.32,0.6777777777777778,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,321.0,321.91,321.55,321.86,302.42,321.0,320.77,327.0,318.59,318.94,309.55,320.15,320.15
Large Town,Waterford,Tramore,0.78,0.7166666666666667,0.88,0.6,0.72,0.82,0.32,0.7111111111111111,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,321.0,319.79,319.4,319.74,304.5,321.0,320.77,321.5,319.1,318.95,309.55,317.93,317.93
Large Town,Longford,Longford,0.68,0.75,0.92,0.82,0.68,0.84,0.4,0.5888888888888889,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,320.0,321.71,321.58,321.73,320.81,320.0,320.23,319.0,318.58,318.56,324.5,316.48,316.48
