index,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H
linreg,48.72985711004593,58.0894414188962,47.37098030774513,47.062806488539046,43.82664970569437,54.00111033649697,49.388297135588964,86.36105695273551,-0.06795433100149736,0.29445170637893825,0.4662210974802996,0.17899630869318925,0.7529478633973277,0.9236232438145187,-3.124375723720141,-2.540846010407481,0.1293896965899507,-1.578756647912257,0.5528464249699496,0.6243759056083462,0.7417053343388886,0.8020694829046313,0.8438159294804848,0.21958230880489538,1.6324323604170508
lasso,48.36396899982261,58.27632368096346,47.88681965574368,47.13581311078586,43.03438159626272,54.19349727883597,48.84430515845927,84.91644771463469,-0.18821721358366364,0.11231202380044938,0.3166402829748533,0.012006600737903717,0.5525071714687091,0.7413145591906996,-2.9069497860817832,-2.332438579297768,0.0,-0.0,0.4036558892921397,0.42657702822475635,0.5210298572099694,0.44981255782683355,0.5110848445363744,0.0,0.35583090960802094
ridge,48.69889046796371,58.01121772852609,47.561232537412714,47.10511319818944,43.63130277345105,54.001660239266236,49.254022134165005,85.90851449537865,-0.06900281700796493,0.2913557228529914,0.46734466296314264,0.17857958223531933,0.7509018104771036,0.9226788477201912,-3.1303633016138326,-2.5469140334867,0.04182955344022666,-1.5479053232986448,0.5417488246299774,0.6089667775154315,0.7307698270642121,0.7760634266744361,0.8284201257835672,0.20358289332580554,1.5963918479868615
elasticnet,0.0,24.676289390486133,87.27650870673898,53.25652750672794,0.0,13.933480575694901,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
knn,,,,,,,,,,,,,,,,,,,,,,,,,
svr,,,,,,,,,,,,,,,,,,,,,,,,,
treereg,0.061844284925455566,0.0910310010254792,0.5000394415082432,0.14427703715390075,0.01080697325865741,0.07099471483789539,0.03328863295732429,0.07856748442060424,0.0,0.0,0.0,0.0,0.0,0.0018931923956772116,0.0003944150824327522,0.0023664904945965145,0.0,0.0,0.004101916857300623,0.0,0.0,0.0,0.0003944150824327522,0.0,0.0
randforest,0.028007602408786757,0.10052038837880915,0.5617291356845454,0.09931891143785275,0.008418471153431474,0.1295938225016835,0.019025813650482844,0.045979758946312496,0.0006218113237128409,0.0005422233928588464,0.0006054821391837355,0.0006510156656630662,0.0006158466244887023,0.0006732927329434168,0.0006715702335278587,0.0006796839729879851,3.2047111584365837e-06,3.2698738717280494e-06,0.0009363933490381568,0.0005839401289419489,0.0004430823718530109,0.00018911192183111573,9.969757714897347e-05,6.865319032241619e-05,1.781662856326616e-05
bagging,,,,,,,,,,,,,,,,,,,,,,,,,
adaboost,0.05300521634500848,0.24149296297755013,0.35191240408796026,0.08640849881868086,0.016837842412026807,0.13484787759724007,0.03722777144975921,0.0782674263117745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradboost,0.04495198560935053,0.12570299849683447,0.4205609971899647,0.10767128845802584,0.01120140383270178,0.19567926652938816,0.030688295760470854,0.0628041159252912,0.0,8.162532466849342e-06,6.368826404924998e-05,5.189079078219459e-06,0.00010270780312204943,0.00012475612160163746,8.478117897691925e-05,7.896720440274243e-05,0.0,0.0,0.00013212990066627562,5.3597163461837126e-05,0.0,7.486427311973793e-05,2.3095301728211708e-06,8.49514685406231e-06,0.0
gradboost_dft,0.04495318388953977,0.1257120544487596,0.4205605976562161,0.10767683231986223,0.011210710293986783,0.19566698542280103,0.03068612893257669,0.06279685738627985,2.1323668161766517e-06,9.063997643359694e-06,7.277472443527471e-05,5.189079078219463e-06,0.00010270780312205037,0.00010959512779963133,8.714492379987364e-05,7.822511530658491e-05,0.0,0.0,0.00013055039836827855,5.359716346184097e-05,0.0,7.48642731197395e-05,2.309530172817121e-06,8.49514685406231e-06,0.0
