mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,name,param_alpha,param_l1_ratio,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_max_samples,param_loss
[0.00218678],[0.00021827],[0.00168042],[6.40962798e-05],[{}],[0.9921236],[0.98832824],[0.98987424],[0.9857487],[0.98482911],[0.98818078],[0.00266774],[1],[-7.17848597],[-11.59999417],[-10.57723604],[-10.98267406],[-13.33914535],[-10.73550712],[2.01319699],[1],linreg,,,,,,,,,
"[0.00224276 0.00237756 0.00230203 0.00222735 0.00221486 0.00575037
 0.00766749 0.00331182 0.00249758 0.00263538 0.00224662 0.00214119
 0.00217032 0.0021306  0.00217404 0.00220871 0.00210295 0.00216098
 0.0021215  0.00208807 0.00216484 0.00211387 0.00216751 0.00215979
 0.00212278 0.00212588 0.00234404 0.0021606  0.00225859 0.00221734
 0.00356517 0.00243459 0.00219646 0.00217447 0.00215287 0.00210962
 0.00210543 0.00224051 0.00219274 0.00209236 0.00217495 0.00215487
 0.00214524 0.00221438 0.0021769  0.00221519 0.00215654 0.00214434
 0.00226946 0.00344286]","[1.01983128e-04 2.00136252e-04 1.07325929e-04 7.24424407e-05
 9.64096342e-05 3.29671729e-03 1.73183220e-03 5.34963253e-04
 2.60745990e-04 2.37698593e-04 1.17316672e-04 3.50267323e-05
 5.30522859e-05 4.49208949e-05 8.59115273e-05 1.15110307e-04
 4.31371889e-05 7.37134418e-05 4.22299543e-05 4.65955551e-05
 8.10909221e-05 6.34731695e-05 7.37337971e-05 5.62373585e-05
 9.86792120e-05 1.10431265e-04 1.89636681e-04 4.65182448e-05
 1.89114447e-04 1.75125508e-04 1.86349935e-03 2.44536052e-04
 1.21528814e-04 8.62786208e-05 9.37510118e-05 3.33171005e-05
 5.67414981e-05 1.43356998e-04 6.81790433e-05 7.31339810e-05
 1.02284471e-04 8.37700430e-05 7.34914819e-05 1.72857475e-04
 1.20175319e-04 1.18129744e-04 9.24703193e-05 1.21035605e-04
 1.55552686e-04 2.04867740e-03]","[0.00168819 0.00166821 0.00175314 0.0016458  0.0017179  0.00374007
 0.00649629 0.00268188 0.00180774 0.00265026 0.00160384 0.00159578
 0.00158257 0.00166535 0.00160794 0.00164967 0.00168419 0.00158496
 0.00160327 0.00160322 0.00164962 0.00156579 0.00158796 0.00156054
 0.00151482 0.00159516 0.00161119 0.00162516 0.00174994 0.00243387
 0.00250859 0.00167389 0.0016571  0.0016922  0.00164628 0.00159583
 0.00161142 0.00156803 0.0015944  0.00162425 0.00156569 0.00155826
 0.00152917 0.00172973 0.00164857 0.00161996 0.00161114 0.00166597
 0.00162964 0.00195284]","[1.36386464e-04 5.70941564e-05 8.71199105e-05 1.04882498e-05
 1.23127775e-04 1.64141976e-03 3.22607892e-03 8.29630041e-04
 1.57512053e-04 1.19943548e-03 1.44380118e-05 4.55950584e-05
 2.01411636e-05 1.39147260e-04 3.16281454e-05 1.12590270e-04
 1.32781555e-04 2.13340803e-05 6.29483928e-05 9.56504437e-05
 7.23541271e-05 7.98437587e-05 4.16807503e-05 5.05304766e-05
 2.85296896e-05 9.04327171e-05 4.74950874e-05 1.25113711e-04
 3.57830670e-04 1.73675795e-03 1.06498374e-03 7.56870510e-05
 1.35408790e-04 1.44943092e-04 1.29524895e-04 9.08548859e-05
 9.26732005e-05 3.21238933e-05 3.98056508e-05 1.67523935e-04
 4.40095124e-05 1.01302929e-05 2.15440706e-05 1.94029428e-04
 1.59136256e-04 5.39603137e-05 1.15502776e-04 1.32382448e-04
 1.09357111e-04 4.01251921e-04]","[{'alpha': 0.01}, {'alpha': 0.01183673469387755}, {'alpha': 0.013673469387755103}, {'alpha': 0.015510204081632653}, {'alpha': 0.017346938775510204}, {'alpha': 0.019183673469387756}, {'alpha': 0.02102040816326531}, {'alpha': 0.02285714285714286}, {'alpha': 0.02469387755102041}, {'alpha': 0.026530612244897958}, {'alpha': 0.02836734693877551}, {'alpha': 0.030204081632653063}, {'alpha': 0.032040816326530615}, {'alpha': 0.03387755102040817}, {'alpha': 0.03571428571428572}, {'alpha': 0.037551020408163265}, {'alpha': 0.03938775510204082}, {'alpha': 0.04122448979591837}, {'alpha': 0.04306122448979592}, {'alpha': 0.04489795918367347}, {'alpha': 0.046734693877551026}, {'alpha': 0.04857142857142858}, {'alpha': 0.05040816326530613}, {'alpha': 0.052244897959183675}, {'alpha': 0.05408163265306123}, {'alpha': 0.05591836734693878}, {'alpha': 0.05775510204081633}, {'alpha': 0.059591836734693884}, {'alpha': 0.06142857142857144}, {'alpha': 0.06326530612244897}, {'alpha': 0.06510204081632653}, {'alpha': 0.06693877551020408}, {'alpha': 0.06877551020408164}, {'alpha': 0.07061224489795918}, {'alpha': 0.07244897959183674}, {'alpha': 0.07428571428571429}, {'alpha': 0.07612244897959183}, {'alpha': 0.07795918367346939}, {'alpha': 0.07979591836734694}, {'alpha': 0.08163265306122448}, {'alpha': 0.08346938775510204}, {'alpha': 0.08530612244897959}, {'alpha': 0.08714285714285715}, {'alpha': 0.08897959183673469}, {'alpha': 0.09081632653061225}, {'alpha': 0.0926530612244898}, {'alpha': 0.09448979591836734}, {'alpha': 0.0963265306122449}, {'alpha': 0.09816326530612245}, {'alpha': 0.1}]","[0.991978   0.9919396  0.99189664 0.99184914 0.9917971  0.99174051
 0.99167937 0.99161367 0.99154344 0.99146751 0.99138672 0.99130206
 0.99121353 0.99112112 0.99102483 0.99092466 0.99082061 0.99071268
 0.99060087 0.99048519 0.99036562 0.99024218 0.99011486 0.98998366
 0.98984858 0.98970962 0.98956678 0.98942006 0.98926946 0.98911499
 0.98895664 0.9887944  0.98862829 0.9884583  0.98828443 0.98810668
 0.98792505 0.98773954 0.98755015 0.98735689 0.98715974 0.98695871
 0.98675381 0.98654503 0.98633237 0.98611583 0.98589541 0.98567111
 0.98544293 0.98521088]","[0.98837761 0.98836946 0.98835837 0.98834433 0.98832736 0.98830745
 0.9882846  0.9882588  0.98823007 0.98819839 0.98816377 0.98812621
 0.98808572 0.98804218 0.98799442 0.98794346 0.98788972 0.98783323
 0.98777398 0.98771198 0.98764721 0.98757968 0.9875094  0.98743635
 0.98736054 0.98728198 0.98720065 0.98711657 0.98702972 0.98694012
 0.98684776 0.98675263 0.98665475 0.98655411 0.9864507  0.98634454
 0.9862357  0.9861255  0.986014   0.98589981 0.98578295 0.98566342
 0.98554121 0.98541632 0.98528876 0.98515853 0.98502562 0.98489003
 0.98475177 0.98461084]","[0.98974692 0.9897132  0.98967659 0.98963709 0.9895947  0.98954942
 0.98950124 0.98944957 0.98939464 0.98933669 0.98927573 0.98921175
 0.98914474 0.98907472 0.98900168 0.98892562 0.98884655 0.98876446
 0.98867935 0.98859122 0.98850007 0.98840591 0.98830873 0.98820853
 0.98810531 0.98799907 0.98788982 0.98777755 0.98766226 0.98754396
 0.98742264 0.9872983  0.98717094 0.98704056 0.98690717 0.98677075
 0.98663132 0.98648888 0.98634341 0.98619493 0.98604343 0.98588891
 0.98573137 0.98557082 0.98540725 0.98524066 0.98507106 0.98489843
 0.98472279 0.98454413]","[0.98569526 0.98567248 0.98564625 0.98561656 0.98558342 0.98554905
 0.98551496 0.98547758 0.98543688 0.98539287 0.98534554 0.9852949
 0.98524093 0.98518365 0.98512305 0.98505913 0.98499189 0.98492134
 0.98484747 0.98477029 0.98468978 0.98460596 0.98451883 0.98442837
 0.9843346  0.98423751 0.9841371  0.98403338 0.98392634 0.98381598
 0.98370231 0.98358531 0.98346501 0.98334138 0.98321444 0.98308418
 0.9829506  0.98281371 0.98267349 0.98252997 0.98238312 0.98223296
 0.98207948 0.98192268 0.98176257 0.98159914 0.98143239 0.98126233
 0.98108895 0.98091225]","[0.98502856 0.98504546 0.9850594  0.98507039 0.98507841 0.98508347
 0.98508556 0.9850847  0.98508087 0.98507408 0.98506432 0.98505161
 0.98503593 0.98501729 0.9849957  0.98497114 0.98494362 0.98491313
 0.98487968 0.98484336 0.98480607 0.98476612 0.98472405 0.98467866
 0.98463054 0.98457969 0.9845261  0.98446462 0.9843977  0.98432807
 0.98425571 0.98418063 0.98410283 0.98402231 0.98393907 0.98385311
 0.98376443 0.98367303 0.9835789  0.98348206 0.98338249 0.98328021
 0.9831752  0.98306747 0.98295702 0.98284385 0.98272796 0.98260934
 0.98248801 0.98236396]","[0.98816527 0.98814804 0.98812745 0.9881035  0.9880762  0.98804598
 0.98801314 0.98797686 0.98793718 0.98789391 0.98784722 0.98779731
 0.98774417 0.98768779 0.98762793 0.9875648  0.98749848 0.98742897
 0.98735627 0.98728041 0.98720175 0.98711997 0.98703517 0.98694711
 0.98685591 0.98676157 0.98666409 0.98656244 0.9864571  0.98634862
 0.98623701 0.98612226 0.98600436 0.98588333 0.98575916 0.98563185
 0.98550142 0.98536813 0.98523199 0.98509273 0.98495035 0.98480484
 0.98465621 0.98450447 0.98434959 0.9841916  0.98403049 0.98386625
 0.98369889 0.98352841]","[0.00256996 0.00255457 0.00253887 0.00252287 0.00250658 0.00248955
 0.00247147 0.00245299 0.00243413 0.0024146  0.00239465 0.00237458
 0.00235438 0.00233406 0.00231359 0.002293   0.00227232 0.00225155
 0.0022307  0.00220975 0.00218831 0.00216675 0.00214497 0.00212325
 0.00210147 0.00207965 0.00205779 0.00203699 0.00201671 0.00199642
 0.00197613 0.00195585 0.00193562 0.00191544 0.00189533 0.00187533
 0.00185546 0.00183585 0.00181655 0.00179748 0.00177867 0.00176015
 0.00174196 0.00172413 0.00170669 0.0016897  0.00167318 0.00165718
 0.00164175 0.00162692]","[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50]","[ -7.31118926  -7.34618645  -7.38533617  -7.42862355  -7.47605605
  -7.52763282  -7.58335845  -7.64322894  -7.70724311  -7.77644501
  -7.85007095  -7.92722896  -8.00791808  -8.09214041  -8.17989721
  -8.27118954  -8.36601798  -8.46438439  -8.56628675  -8.67172372
  -8.78069306  -8.89319803  -9.00923841  -9.12881296  -9.25192305
  -9.37856869  -9.50874974  -9.64246777  -9.77972204  -9.92050971
 -10.06483148 -10.21268866 -10.36408133 -10.51901059 -10.67747541
 -10.83947577 -11.00501165 -11.17408305 -11.3466896  -11.52283122
 -11.70250834 -11.88572048 -12.07246737 -12.26274949 -12.45656685
 -12.65391967 -12.85480794 -13.0592315  -13.26719051 -13.47868497]","[-11.55092381 -11.55902345 -11.57005147 -11.583999   -11.60086633
 -11.62065559 -11.64336899 -11.66900498 -11.69756342 -11.72904617
 -11.76345118 -11.80077769 -11.84102613 -11.88429142 -11.93176111
 -11.98241045 -12.03581388 -12.0919577  -12.15084098 -12.21246709
 -12.27683603 -12.34394781 -12.4138023  -12.48639942 -12.56173933
 -12.63982181 -12.7206469  -12.80421464 -12.89052514 -12.97957845
 -13.07137456 -13.16591348 -13.26319521 -13.36321974 -13.46598708
 -13.57149722 -13.67966901 -13.7891857  -13.9000087  -14.01349049
 -14.12963208 -14.24843234 -14.36989107 -14.49400821 -14.62078401
 -14.75021845 -14.8823103  -15.01706049 -15.15446931 -15.29453675]","[-10.71022824 -10.74545351 -10.78369451 -10.82495728 -10.86924027
 -10.91654369 -10.96687177 -11.02083979 -11.07822117 -11.13875024
 -11.20243168 -11.26926488 -11.33925844 -11.41240417 -11.48870211
 -11.56815255 -11.65075063 -11.7364994  -11.82540146 -11.91746016
 -12.01267237 -12.11103604 -12.2125519  -12.31721993 -12.42504014
 -12.53601203 -12.65013486 -12.76740985 -12.88783699 -13.0114163
 -13.13814834 -13.2680344  -13.40107188 -13.53726155 -13.67660337
 -13.81909736 -13.96474353 -14.11354218 -14.2654931  -14.4205962
 -14.57885155 -14.74025918 -14.904819   -15.07253101 -15.24339521
 -15.4174116  -15.59458018 -15.77490096 -15.95837392 -16.14499907]","[-11.02385296 -11.04141083 -11.06162623 -11.08450248 -11.1100452
 -11.13653152 -11.16280374 -11.19161274 -11.22297147 -11.25688768
 -11.29336234 -11.33239432 -11.37398268 -11.41812764 -11.46482889
 -11.51408627 -11.5659     -11.62027016 -11.67719674 -11.73667976
 -11.79871919 -11.86331501 -11.93046726 -12.00017589 -12.07244091
 -12.1472623  -12.22463968 -12.30457335 -12.38706333 -12.47210966
 -12.55971231 -12.64987126 -12.74258652 -12.8378581  -12.93568598
 -13.03607006 -13.13901039 -13.244507   -13.3525599  -13.46316909
 -13.57633454 -13.69205617 -13.81033392 -13.93116779 -14.05455787
 -14.18050416 -14.30900668 -14.44006544 -14.57368044 -14.70985168]","[-13.16378212 -13.14892034 -13.13665911 -13.12700211 -13.11994981
 -13.1155022  -13.11365847 -13.11441904 -13.11778615 -13.12375805
 -13.13233452 -13.14351537 -13.15729845 -13.17368637 -13.1926754
 -13.21426906 -13.23846753 -13.26527106 -13.29467969 -13.32661354
 -13.35940089 -13.39453559 -13.43151925 -13.47143147 -13.51373892
 -13.55845108 -13.60556992 -13.65963114 -13.71846692 -13.77969515
 -13.84331548 -13.909328   -13.97773271 -14.04852988 -14.12171952
 -14.19730162 -14.27527618 -14.3556432  -14.43840268 -14.52355457
 -14.61109875 -14.70103539 -14.7933645  -14.88808608 -14.98520013
 -15.08470664 -15.18660559 -15.29089698 -15.39758084 -15.50665717]","[-10.75199528 -10.76819891 -10.7874735  -10.80981688 -10.83523153
 -10.86337316 -10.89401229 -10.9278211  -10.96475706 -11.00497743
 -11.04833013 -11.09463625 -11.14389675 -11.19613    -11.25157294
 -11.31002157 -11.37139001 -11.43567654 -11.50288113 -11.57298886
 -11.64566431 -11.72120649 -11.79951582 -11.88080793 -11.96497647
 -12.05202318 -12.14194822 -12.23565935 -12.33272289 -12.43266185
 -12.53547643 -12.64116716 -12.74973353 -12.86117597 -12.97549427
 -13.09268841 -13.21274215 -13.33539223 -13.4606308  -13.58872831
 -13.71968505 -13.85350071 -13.99017517 -14.12970852 -14.27210081
 -14.41735211 -14.56546214 -14.71643107 -14.870259   -15.02694593]","[1.91675767 1.90150305 1.88577908 1.86959114 1.85293677 1.83576513
 1.8180402  1.79985267 1.78120663 1.76171975 1.74167289 1.72139678
 1.70089645 1.68018476 1.65936342 1.63835524 1.61713173 1.59569843
 1.5740639  1.55221948 1.52980076 1.50715831 1.48419528 1.46116425
 1.43796085 1.4146029  1.39110794 1.36843714 1.34613133 1.32370977
 1.30119307 1.27860367 1.25596608 1.23330705 1.21065642 1.18804638
 1.16550553 1.14296766 1.12047497 1.09818242 1.07614063 1.05440504
 1.03303598 1.01209876 0.99166445 0.97180985 0.95261777 0.93417729
 0.91658337 0.89993681]","[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50]",lasso,"[0.01 0.01183673469387755 0.013673469387755103 0.015510204081632653
 0.017346938775510204 0.019183673469387756 0.02102040816326531
 0.02285714285714286 0.02469387755102041 0.026530612244897958
 0.02836734693877551 0.030204081632653063 0.032040816326530615
 0.03387755102040817 0.03571428571428572 0.037551020408163265
 0.03938775510204082 0.04122448979591837 0.04306122448979592
 0.04489795918367347 0.046734693877551026 0.04857142857142858
 0.05040816326530613 0.052244897959183675 0.05408163265306123
 0.05591836734693878 0.05775510204081633 0.059591836734693884
 0.06142857142857144 0.06326530612244897 0.06510204081632653
 0.06693877551020408 0.06877551020408164 0.07061224489795918
 0.07244897959183674 0.07428571428571429 0.07612244897959183
 0.07795918367346939 0.07979591836734694 0.08163265306122448
 0.08346938775510204 0.08530612244897959 0.08714285714285715
 0.08897959183673469 0.09081632653061225 0.0926530612244898
 0.09448979591836734 0.0963265306122449 0.09816326530612245 0.1]",,,,,,,,
