name,r2_train,r2_test,rmse_train,rmse_test,best_params_
linreg,0.9881707686192053,0.9900287367440247,3.2114962540329315,3.192464082930267,{}
lasso,0.9882235120586605,0.9900414927235546,3.203844241389088,3.1904214110161933,{'alpha': 0.0050408163265306125}
ridge,0.9881731411130259,0.9899980724032529,3.211141870374112,3.1973691614674715,{'alpha': 0.015510204081632653}
elasticnet,0.7724417819429126,0.7600202903586355,14.13125270763451,15.661674383396685,{'l1_ratio': 1.0}
knn,0.6177868351899206,0.7463905942436284,18.26832975347596,16.100286598607948,"{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'}"
svr,0.9806717213410993,0.9844363275071533,4.10425919945721,3.9884758830297122,"{'C': 194.73684210526318, 'epsilon': 0.23}"
treereg,0.8677125971936073,0.8867672787075216,10.760281231917716,10.758132801915385,"{'criterion': 'mae', 'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2}"
randforest,0.9530832740412111,0.9559701679857089,6.397279916666539,6.708484844051233,"{'criterion': 'mse', 'n_estimators': 300}"
bagging,0.9523956717099751,0.9552506165254668,6.44444506242284,6.763078943236789,"{'max_samples': 1.0, 'n_estimators': 200}"
adaboost,0.9277270975930897,0.9264135165865539,7.944022396595677,8.67261272167011,{'n_estimators': 100}
gradboost,0.9683763336999875,0.9753818200127605,5.241515489547345,5.01624684935384,"{'loss': 'ls', 'max_depth': 3, 'n_estimators': 100}"
gradboost_dft,0.9684543296685046,0.9754549605051198,5.234295799363739,5.008789684003339,{}
