mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,name,param_alpha,param_l1_ratio,param_algorithm,param_n_neighbors,param_weights,param_C,param_epsilon,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_max_samples,param_loss
[0.00358958],[0.00217114],[0.0021616],[0.0001344],[{}],[0.98731336],[0.99057278],[0.94265228],[0.98483596],[0.98637972],[0.97835082],[0.01794776],[1],[-7.04507107],[-5.11027846],[-31.02702315],[-7.95782823],[-9.39372552],[-12.10678529],[9.56161072],[1],linreg,,,,,,,,,,,,,,
"[0.00281453 0.00271754 0.00288124 0.00292902 0.00369229 0.00337992
 0.00336208 0.00265212 0.002632   0.0027534  0.00259767 0.00235701
 0.00197806 0.00199375 0.00201478 0.00198736 0.0019711  0.00200648
 0.00200353 0.00194592 0.00181756 0.00181379 0.00183601 0.0018393
 0.00183229 0.00183296 0.001824   0.00191712 0.00186701 0.00191903
 0.00193429 0.00213652 0.00205436 0.00326538 0.00216928 0.00199037
 0.00202484 0.00202398 0.00199943 0.001897   0.00187783 0.00191064
 0.00188389 0.00188203 0.00200191 0.00183425 0.00183296 0.00193872
 0.00199299 0.00188112]","[3.15993620e-04 5.32069837e-04 3.74471347e-04 4.23261500e-04
 4.32162507e-04 4.05793649e-04 3.96768048e-04 9.29628741e-05
 3.05058785e-05 1.58909272e-04 4.60135751e-05 1.91016288e-04
 7.10597126e-05 3.27030344e-05 3.60056578e-05 4.80081962e-05
 1.01754592e-04 2.20623644e-05 3.13135734e-05 1.09150661e-04
 2.77212636e-05 5.41302803e-05 5.53417543e-05 2.46015628e-05
 2.34007076e-05 1.62579795e-05 2.45497517e-05 7.28874881e-05
 4.20519010e-05 1.34949044e-04 1.24406440e-04 2.16868475e-04
 1.33003261e-04 1.51804328e-03 2.72290618e-04 9.15166416e-05
 8.57716463e-05 2.07443697e-04 1.70804468e-04 6.89356472e-05
 4.32715994e-05 4.78059632e-05 6.23508300e-05 5.42320046e-05
 4.29223903e-05 3.94317518e-05 3.45425656e-05 3.51832157e-05
 4.17480123e-05 1.01804231e-04]","[0.00191827 0.00203905 0.00208125 0.00230551 0.00261269 0.00259285
 0.00251207 0.00204163 0.00207334 0.00205202 0.00200257 0.00176406
 0.00156426 0.0015954  0.00167689 0.00163617 0.00151353 0.00166135
 0.00159793 0.00152488 0.00147181 0.00147729 0.0014822  0.00148077
 0.0014781  0.00148001 0.00147281 0.00165515 0.0015728  0.00149498
 0.00153809 0.00174179 0.00170736 0.00234599 0.00167384 0.00164819
 0.00171161 0.00163422 0.00170684 0.0015306  0.00153813 0.00152817
 0.00157814 0.00150294 0.00158215 0.00149193 0.00148821 0.0015698
 0.00164089 0.00153179]","[2.80786944e-04 4.88697085e-04 1.58245910e-04 2.70852404e-04
 4.49490051e-04 2.98927096e-04 3.91107657e-04 9.85366883e-05
 1.33114061e-04 3.53198919e-05 1.86884886e-05 9.97650002e-05
 7.92659131e-05 2.65275787e-05 1.27666023e-04 9.97523049e-05
 9.40155533e-06 8.59546296e-05 2.19155312e-05 4.05422083e-05
 2.61815300e-05 3.05121387e-05 1.51858973e-05 1.13547333e-05
 8.52938926e-06 1.07965452e-05 8.55467657e-06 1.13316456e-04
 1.36112363e-04 2.85659288e-05 6.37510773e-05 1.72066251e-04
 1.82834900e-04 3.90845690e-04 1.45643945e-04 1.56540853e-04
 2.62889800e-04 2.69179479e-04 2.50809410e-04 6.17588619e-05
 5.64732240e-05 4.02696250e-05 8.73314465e-05 3.75042049e-05
 3.74892273e-05 5.15080372e-05 6.68082723e-06 1.58396088e-05
 8.34446771e-05 9.77471281e-05]","[{'alpha': 0.1}, {'alpha': 0.3020408163265306}, {'alpha': 0.5040816326530613}, {'alpha': 0.7061224489795919}, {'alpha': 0.9081632653061225}, {'alpha': 1.1102040816326533}, {'alpha': 1.3122448979591839}, {'alpha': 1.5142857142857145}, {'alpha': 1.716326530612245}, {'alpha': 1.9183673469387756}, {'alpha': 2.1204081632653065}, {'alpha': 2.322448979591837}, {'alpha': 2.5244897959183676}, {'alpha': 2.7265306122448982}, {'alpha': 2.928571428571429}, {'alpha': 3.1306122448979594}, {'alpha': 3.33265306122449}, {'alpha': 3.5346938775510206}, {'alpha': 3.736734693877551}, {'alpha': 3.938775510204082}, {'alpha': 4.140816326530612}, {'alpha': 4.3428571428571425}, {'alpha': 4.544897959183674}, {'alpha': 4.746938775510204}, {'alpha': 4.948979591836735}, {'alpha': 5.151020408163265}, {'alpha': 5.353061224489796}, {'alpha': 5.555102040816326}, {'alpha': 5.757142857142857}, {'alpha': 5.959183673469387}, {'alpha': 6.161224489795918}, {'alpha': 6.3632653061224485}, {'alpha': 6.5653061224489795}, {'alpha': 6.7673469387755105}, {'alpha': 6.969387755102041}, {'alpha': 7.171428571428572}, {'alpha': 7.373469387755102}, {'alpha': 7.575510204081633}, {'alpha': 7.777551020408163}, {'alpha': 7.979591836734694}, {'alpha': 8.181632653061225}, {'alpha': 8.383673469387755}, {'alpha': 8.585714285714285}, {'alpha': 8.787755102040816}, {'alpha': 8.989795918367347}, {'alpha': 9.191836734693878}, {'alpha': 9.393877551020408}, {'alpha': 9.595918367346938}, {'alpha': 9.79795918367347}, {'alpha': 10.0}]","[0.98734507 0.98740886 0.98742633 0.98742671 0.98741225 0.9873828
 0.98733829 0.98727872 0.98721322 0.98718229 0.9871449  0.98710067
 0.98705056 0.98699403 0.98696399 0.98696925 0.98697427 0.98697904
 0.98698358 0.98698786 0.9869919  0.9869957  0.98699925 0.98700256
 0.98700562 0.98700844 0.98701101 0.98701334 0.98701542 0.98701726
 0.98701886 0.98702021 0.98702131 0.98702217 0.98702279 0.98702316
 0.98702329 0.98702317 0.98702281 0.9870222  0.98702135 0.98702025
 0.98701891 0.98701733 0.9870155  0.98701342 0.9870111  0.98700854
 0.98700573 0.98700268]","[0.99057527 0.99060314 0.99062212 0.9906276  0.99061357 0.99058239
 0.99053404 0.99046706 0.99038078 0.9903173  0.99025312 0.99017928
 0.99009649 0.99000861 0.99000515 0.99000269 0.98999999 0.98999704
 0.98999385 0.9899904  0.98998671 0.98998277 0.98997859 0.98997415
 0.98996947 0.98996455 0.98995937 0.98995395 0.98994828 0.98994236
 0.9899362  0.98992978 0.98992312 0.98991622 0.98990906 0.98990166
 0.98989401 0.98988612 0.98987797 0.98986958 0.98986094 0.98985206
 0.98984292 0.98983354 0.98982392 0.98981404 0.98980392 0.98979355
 0.98978293 0.98977207]","[0.9780151  0.98839483 0.98829952 0.98818446 0.98805129 0.98790129
 0.98773443 0.98755069 0.98736866 0.98721027 0.98704233 0.98688244
 0.98687404 0.98686553 0.98685677 0.98684775 0.98683848 0.98682894
 0.98681914 0.98680909 0.98679878 0.98678821 0.98677738 0.98676629
 0.98675494 0.98674334 0.98673147 0.98671935 0.98670697 0.98669433
 0.98668143 0.98666827 0.98665486 0.98664118 0.98662725 0.98661306
 0.98659861 0.9865839  0.98656893 0.9865537  0.98653822 0.98652248
 0.98650647 0.98649021 0.98647369 0.98645692 0.98643988 0.98642258
 0.98640503 0.98638722]","[0.98480164 0.98475391 0.98468953 0.98460984 0.98451579 0.98440772
 0.98428606 0.98424373 0.9841952  0.98413925 0.98407484 0.98400275
 0.98392283 0.98383416 0.98381506 0.98380907 0.98380285 0.98379638
 0.98378968 0.98378273 0.98377555 0.98376812 0.98376046 0.98375256
 0.98374442 0.98373604 0.98372742 0.98371856 0.98370946 0.98370012
 0.98369054 0.98368072 0.98367067 0.98366037 0.98364983 0.98363906
 0.98362804 0.98361679 0.9836053  0.98359356 0.98358159 0.98356938
 0.98355693 0.98354424 0.98353131 0.98351814 0.98350473 0.98349108
 0.98347719 0.98346306]","[0.98641311 0.98641488 0.98637441 0.98632037 0.98625164 0.98617178
 0.98607966 0.98597326 0.98585332 0.9857162  0.98558184 0.98545724
 0.9854537  0.98544989 0.98544581 0.98544146 0.98543685 0.98543197
 0.98542682 0.9854214  0.98541572 0.98540977 0.98540355 0.98539706
 0.9853903  0.98538328 0.98537599 0.98536843 0.9853606  0.9853525
 0.98534414 0.98533551 0.98532661 0.98531744 0.98530801 0.98529831
 0.98528834 0.9852781  0.98526759 0.98525682 0.98524578 0.98523447
 0.98522289 0.98521104 0.98519893 0.98518655 0.9851739  0.98516098
 0.9851478  0.98513435]","[0.98543004 0.98751512 0.98748238 0.98743379 0.98736891 0.9872892
 0.98719449 0.98710269 0.98700224 0.98691306 0.9868194  0.98672448
 0.98667952 0.98663044 0.98661735 0.98661405 0.98661049 0.98660668
 0.98660261 0.9865983  0.98659373 0.98658891 0.98658384 0.98657852
 0.98657295 0.98656713 0.98656105 0.98655472 0.98654815 0.98654132
 0.98653423 0.9865269  0.98651931 0.98651148 0.98650339 0.98649505
 0.98648646 0.98647761 0.98646852 0.98645917 0.98644958 0.98643973
 0.98642963 0.98641927 0.98640867 0.98639781 0.98638671 0.98637535
 0.98636374 0.98635187]","[0.00415893 0.00195734 0.0019777  0.00199892 0.00201911 0.00203863
 0.00205751 0.00204939 0.00203925 0.00204334 0.00204989 0.00205504
 0.0020471  0.00204022 0.00204353 0.00204483 0.00204613 0.00204745
 0.00204878 0.00205013 0.00205148 0.00205284 0.00205421 0.00205559
 0.00205699 0.00205839 0.0020598  0.00206123 0.00206266 0.00206411
 0.00206556 0.00206703 0.00206851 0.00207    0.00207149 0.002073
 0.00207452 0.00207605 0.00207759 0.00207914 0.00208071 0.00208228
 0.00208386 0.00208545 0.00208706 0.00208867 0.0020903  0.00209193
 0.00209358 0.00209524]","[50  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49]","[-7.02746449 -6.99204036 -6.98233773 -6.98212842 -6.99016043 -7.00651063
 -7.03123077 -7.06430681 -7.10068182 -7.11785822 -7.13862382 -7.16318174
 -7.19100716 -7.22240389 -7.23908542 -7.23616213 -7.23337469 -7.23072309
 -7.22820734 -7.22582744 -7.22358339 -7.22147519 -7.21950283 -7.21766632
 -7.21596566 -7.21440085 -7.21297188 -7.21167876 -7.21052149 -7.20950007
 -7.20861449 -7.20786477 -7.20725089 -7.20677286 -7.20643067 -7.20622434
 -7.20615385 -7.20621921 -7.20642041 -7.20675747 -7.20723037 -7.20783912
 -7.20858372 -7.20946416 -7.21048046 -7.2116326  -7.21292058 -7.21434442
 -7.21590411 -7.21759964]","[-5.1089288  -5.09382144 -5.08353139 -5.0805619  -5.0881656  -5.10506831
 -5.13127677 -5.1675846  -5.21435817 -5.2487696  -5.28355903 -5.32358311
 -5.36846528 -5.41609882 -5.41797789 -5.41930819 -5.4207726  -5.42237109
 -5.42410369 -5.42597038 -5.42797117 -5.43010606 -5.43237504 -5.43477812
 -5.4373153  -5.43998657 -5.44279194 -5.44573141 -5.44880498 -5.45201264
 -5.4553544  -5.45883025 -5.46244021 -5.46618426 -5.4700624  -5.47407465
 -5.47822099 -5.48250143 -5.48691596 -5.49146459 -5.49614732 -5.50096415
 -5.50591507 -5.51100009 -5.5162192  -5.52157242 -5.52705973 -5.53268113
 -5.53843664 -5.54432624]","[-11.89456287  -6.27878321  -6.33035083  -6.39259768  -6.46464828
  -6.54580429  -6.63607981  -6.73549101  -6.8339721   -6.9196679
  -7.01052842  -7.09703334  -7.10158269  -7.1061826   -7.11092243
  -7.11580218  -7.12082185  -7.12598145  -7.13128097  -7.1367204
  -7.14229976  -7.14801905  -7.15387825  -7.15987738  -7.16601642
  -7.17229539  -7.17871428  -7.18527309  -7.19197183  -7.19881048
  -7.20578906  -7.21290755  -7.22016597  -7.22756432  -7.23510258
  -7.24278076  -7.25059887  -7.2585569   -7.26665485  -7.27489272
  -7.28327051  -7.29178823  -7.30044586  -7.30924342  -7.3181809
  -7.3272583   -7.33647562  -7.34583287  -7.35533003  -7.36496712]","[-7.97583986 -8.00088436 -8.03466977 -8.07649385 -8.12584811 -8.18255969
 -8.24640817 -8.26862238 -8.2940888  -8.32345117 -8.35725103 -8.39508489
 -8.43702279 -8.48355519 -8.49357978 -8.49672141 -8.4999887  -8.50338165
 -8.50690024 -8.5105445  -8.5143144  -8.51820996 -8.52223117 -8.52637804
 -8.53065056 -8.53504873 -8.53957255 -8.54422203 -8.54899717 -8.55389795
 -8.55892439 -8.56407649 -8.56935424 -8.57475764 -8.58028669 -8.5859414
 -8.59172176 -8.59762778 -8.60365945 -8.60981677 -8.61609975 -8.62250838
 -8.62904266 -8.6357026  -8.64248819 -8.64939943 -8.65643633 -8.66359888
 -8.67088709 -8.67830095]","[ -9.37069871  -9.36947679  -9.39739133  -9.43466365  -9.48206567
  -9.53714136  -9.60067733  -9.67406167  -9.75677786  -9.85134976
  -9.94401946 -10.02995291 -10.03239554 -10.03502292 -10.03783503
 -10.04083189 -10.04401349 -10.04737984 -10.05093092 -10.05466675
 -10.05858731 -10.06269262 -10.06698268 -10.07145747 -10.076117
 -10.08096128 -10.0859903  -10.09120406 -10.09660256 -10.1021858
 -10.10795379 -10.11390651 -10.12004398 -10.12636619 -10.13287315
 -10.13956484 -10.14644128 -10.15350245 -10.16074837 -10.16817903
 -10.17579443 -10.18359458 -10.19157946 -10.19974909 -10.20810346
 -10.21664257 -10.22536643 -10.23427502 -10.24336836 -10.25264643]","[-8.27549895 -7.14700123 -7.16565621 -7.1932891  -7.23017762 -7.27541686
 -7.32913457 -7.3820133  -7.43997575 -7.49221933 -7.54679635 -7.6017672
 -7.62609469 -7.65265268 -7.65988011 -7.66176516 -7.66379427 -7.66596742
 -7.66828463 -7.67074589 -7.67335121 -7.67610057 -7.67899399 -7.68203146
 -7.68521299 -7.68853856 -7.69200819 -7.69562187 -7.6993796  -7.70328139
 -7.70732723 -7.71151712 -7.71585106 -7.72032905 -7.7249511  -7.7297172
 -7.73462735 -7.73968155 -7.74487981 -7.75022212 -7.75570848 -7.76133889
 -7.76711335 -7.77303187 -7.77909444 -7.78530106 -7.79165174 -7.79814647
 -7.80478524 -7.81156808]","[2.27910677 1.4602655  1.46985787 1.48007583 1.49030764 1.50022423
 1.51002966 1.51407955 1.51873734 1.53345824 1.54789836 1.55965862
 1.54978661 1.53961058 1.53975797 1.5404504  1.54116131 1.5418907
 1.54263855 1.54340488 1.54418966 1.54499291 1.54581462 1.54665479
 1.54751341 1.54839049 1.54928602 1.5502     1.55113242 1.5520833
 1.55305262 1.55404038 1.5550466  1.55607125 1.55711436 1.5581759
 1.55925589 1.56035433 1.56147121 1.56260654 1.56376032 1.56493254
 1.56612322 1.56733234 1.56855992 1.56980595 1.57107044 1.57235338
 1.57365479 1.57497466]","[50  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49]",lasso,"[0.1 0.3020408163265306 0.5040816326530613 0.7061224489795919
 0.9081632653061225 1.1102040816326533 1.3122448979591839
 1.5142857142857145 1.716326530612245 1.9183673469387756
 2.1204081632653065 2.322448979591837 2.5244897959183676
 2.7265306122448982 2.928571428571429 3.1306122448979594 3.33265306122449
 3.5346938775510206 3.736734693877551 3.938775510204082 4.140816326530612
 4.3428571428571425 4.544897959183674 4.746938775510204 4.948979591836735
 5.151020408163265 5.353061224489796 5.555102040816326 5.757142857142857
 5.959183673469387 6.161224489795918 6.3632653061224485 6.5653061224489795
 6.7673469387755105 6.969387755102041 7.171428571428572 7.373469387755102
 7.575510204081633 7.777551020408163 7.979591836734694 8.181632653061225
 8.383673469387755 8.585714285714285 8.787755102040816 8.989795918367347
 9.191836734693878 9.393877551020408 9.595918367346938 9.79795918367347
 10.0]",,,,,,,,,,,,,
