county_l1,town,town_tidy
Wicklow,Newcastle-Wicklow,Newcastle
Wicklow,Newtownmountkennedy,Newtown Mount Kennedy
Wicklow,Rathdangan,Rathdangan
Wicklow,Rathdrum,Rathdrum
Wicklow,Rathnew,Rathnew
Wicklow,Redcross,Redcross
Wicklow,Roundwood,Roundwood
Wicklow,Shillelagh,Shillelagh
Wicklow,Stratford-On-Slaney,Stratford-On-Slaney
Wicklow,Tinahely,Tinahely
Wicklow,Wicklow,Wicklow
Wicklow,Wicklow Town,Wicklow
