pdf_name,pdf_path,pdf_found,pdf_success,year,county
1996 COUNTY CLARE FLAGMOUNT.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE INCH-CLARE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILDYSART.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILFENORA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILKEE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILKISHEN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILLALOE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILLIMER.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILMIHIL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE KILRUSH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE LABASHEEDA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE LAHINCH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE LISDOONVARNA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE MOUNTSHANNON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE MULLAGH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE NEWMARKET-ON-FERGUS.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE O'BRIENS BRIDGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE OCALLAGHANS MILLS.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE PARTEEN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE QUIN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE RUAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE SCARIFF.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE SHANNON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE SIXMILEBRIDGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CLARE TUAMGRANEY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,clare
1996 COUNTY CORK ARDFIELD.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK ARDGROOM VILLAGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLINCOLLIG.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLINEEN-ENNISKEAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLINGEARY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLINSPITTLE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLYCLOUGH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLYCOTTON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLYDEHOB.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLYLICKEY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BALLYMAKEERA-BALLYVOURNEY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
